repo,path,sha,date_time,previous_content,content,levenshtein_distance,bcompare
kevinpapst/kimai2,SECURITY.md,cdef22b4d1db43c1089ce8a6cf890347b87e675f,2019-05-23 19:42:52+00:00,,"# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 0.9     | :white_check_mark: |
| < 0.9   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release. 
Depending on the size of the required fixes, this might take between a couple of hours up 
to a couple of days.

You can expect that your message (via email is the preferred way) will be answered ASAP, 
but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release 
notes within the Security section at the top of the release. 
",934,b kevinpapst/kimai2 cdef22b4d1db43c1089ce8a6cf890347b87e675f
kevinpapst/kimai2,SECURITY.md,8873947a1b13725d101f0db4feb8b211158baefb,2019-05-23 23:11:03+00:00,"# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 0.9     | :white_check_mark: |
| < 0.9   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release. 
Depending on the size of the required fixes, this might take between a couple of hours up 
to a couple of days.

You can expect that your message (via email is the preferred way) will be answered ASAP, 
but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release 
notes within the Security section at the top of the release. 
","# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 0.9     | :white_check_mark: |
| < 0.9   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability in the [advisories section at GitHub](https://github.com/kevinpapst/kimai2/security/advisories) or via email to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release / security update. 
Depending on the size of the required fixes, this might take a couple of hours or a couple of days.

You can expect that your message will be answered ASAP, but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release notes within the Security section at the top of the release. 
I am grateful for any (discrete) disclosure of vulnerabilities!",239,b kevinpapst/kimai2 8873947a1b13725d101f0db4feb8b211158baefb
kevinpapst/kimai2,SECURITY.md,baa2fca7ca9651bad2b8e9b221cc9d61d4805c2e,2019-07-02 00:36:46+00:00,"# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 0.9     | :white_check_mark: |
| < 0.9   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability in the [advisories section at GitHub](https://github.com/kevinpapst/kimai2/security/advisories) or via email to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release / security update. 
Depending on the size of the required fixes, this might take a couple of hours or a couple of days.

You can expect that your message will be answered ASAP, but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release notes within the Security section at the top of the release. 
I am grateful for any (discrete) disclosure of vulnerabilities!","# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 1.0     | :white_check_mark: |
| < 1.0   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability in the [advisories section at GitHub](https://github.com/kevinpapst/kimai2/security/advisories) or via email to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release / security update. 
Depending on the size of the required fixes, this might take a couple of hours or a couple of days.

You can expect that your message will be answered ASAP, but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release notes within the Security section at the top of the release. 
I am grateful for any (discrete) disclosure of vulnerabilities!",4,b kevinpapst/kimai2 baa2fca7ca9651bad2b8e9b221cc9d61d4805c2e
kevinpapst/kimai2,SECURITY.md,f0822fa2b12b7fb4a74d028d8fc8024f49b17602,2019-07-05 17:25:06+00:00,"# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 1.0     | :white_check_mark: |
| < 1.0   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability in the [advisories section at GitHub](https://github.com/kevinpapst/kimai2/security/advisories) or via email to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release / security update. 
Depending on the size of the required fixes, this might take a couple of hours or a couple of days.

You can expect that your message will be answered ASAP, but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release notes within the Security section at the top of the release. 
I am grateful for any (discrete) disclosure of vulnerabilities!","# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 1.0.x   | :white_check_mark: |
| < 1.0   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability in the [advisories section at GitHub](https://github.com/kevinpapst/kimai2/security/advisories) or via email to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release / security update. 
Depending on the size of the required fixes, this might take a couple of hours or a couple of days.

You can expect that your message will be answered ASAP, but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release notes within the Security section at the top of the release. 
I am grateful for any (discrete) disclosure of vulnerabilities!",2,b kevinpapst/kimai2 f0822fa2b12b7fb4a74d028d8fc8024f49b17602
kevinpapst/kimai2,SECURITY.md,12803b39578b58deefe3ce65d23115401e181ae0,2019-07-24 17:38:46+00:00,"# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 1.0.x   | :white_check_mark: |
| < 1.0   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability in the [advisories section at GitHub](https://github.com/kevinpapst/kimai2/security/advisories) or via email to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release / security update. 
Depending on the size of the required fixes, this might take a couple of hours or a couple of days.

You can expect that your message will be answered ASAP, but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release notes within the Security section at the top of the release. 
I am grateful for any (discrete) disclosure of vulnerabilities!","# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 1.1     | :white_check_mark: |
| < 1.1   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability in the [advisories section at GitHub](https://github.com/kevinpapst/kimai2/security/advisories) or via email to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release / security update. 
Depending on the size of the required fixes, this might take a couple of hours or a couple of days.

You can expect that your message will be answered ASAP, but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release notes within the Security section at the top of the release. 
I am grateful for any (discrete) disclosure of vulnerabilities!",4,b kevinpapst/kimai2 12803b39578b58deefe3ce65d23115401e181ae0
kevinpapst/kimai2,SECURITY.md,94f8159fdc3c5f6c2153082a2457161790a90ec3,2019-08-27 16:37:42+00:00,"# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 1.1     | :white_check_mark: |
| < 1.1   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability in the [advisories section at GitHub](https://github.com/kevinpapst/kimai2/security/advisories) or via email to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release / security update. 
Depending on the size of the required fixes, this might take a couple of hours or a couple of days.

You can expect that your message will be answered ASAP, but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release notes within the Security section at the top of the release. 
I am grateful for any (discrete) disclosure of vulnerabilities!","# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 1.2     | :white_check_mark: |
| < 1.2   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability in the [advisories section at GitHub](https://github.com/kevinpapst/kimai2/security/advisories) or via email to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release / security update. 
Depending on the size of the required fixes, this might take a couple of hours or a couple of days.

You can expect that your message will be answered ASAP, but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release notes within the Security section at the top of the release. 
I am grateful for any (discrete) disclosure of vulnerabilities!",2,b kevinpapst/kimai2 94f8159fdc3c5f6c2153082a2457161790a90ec3
kevinpapst/kimai2,SECURITY.md,8f2b82b8326846f43bde5a8fd0db78970f1bd625,2019-09-11 22:36:48+00:00,"# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 1.2     | :white_check_mark: |
| < 1.2   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability in the [advisories section at GitHub](https://github.com/kevinpapst/kimai2/security/advisories) or via email to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release / security update. 
Depending on the size of the required fixes, this might take a couple of hours or a couple of days.

You can expect that your message will be answered ASAP, but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release notes within the Security section at the top of the release. 
I am grateful for any (discrete) disclosure of vulnerabilities!","# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 1.3     | :white_check_mark: |
| < 1.3   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability in the [advisories section at GitHub](https://github.com/kevinpapst/kimai2/security/advisories) or via email to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release / security update. 
Depending on the size of the required fixes, this might take a couple of hours or a couple of days.

You can expect that your message will be answered ASAP, but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release notes within the Security section at the top of the release. 
I am grateful for any (discrete) disclosure of vulnerabilities!",2,b kevinpapst/kimai2 8f2b82b8326846f43bde5a8fd0db78970f1bd625
kevinpapst/kimai2,SECURITY.md,32aa209b7553b8827b8009ba7f389789842458bf,2019-10-04 05:36:59+00:00,"# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 1.3     | :white_check_mark: |
| < 1.3   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability in the [advisories section at GitHub](https://github.com/kevinpapst/kimai2/security/advisories) or via email to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release / security update. 
Depending on the size of the required fixes, this might take a couple of hours or a couple of days.

You can expect that your message will be answered ASAP, but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release notes within the Security section at the top of the release. 
I am grateful for any (discrete) disclosure of vulnerabilities!","# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 1.4     | :white_check_mark: |
| < 1.4   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability in the [advisories section at GitHub](https://github.com/kevinpapst/kimai2/security/advisories) or via email to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release / security update. 
Depending on the size of the required fixes, this might take a couple of hours or a couple of days.

You can expect that your message will be answered ASAP, but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release notes within the Security section at the top of the release. 
I am grateful for any (discrete) disclosure of vulnerabilities!",2,b kevinpapst/kimai2 32aa209b7553b8827b8009ba7f389789842458bf
kevinpapst/kimai2,SECURITY.md,140fa4b7c0bf2fd4b9111685f4c54e8cd2168d55,2019-11-03 16:31:33+00:00,"# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 1.4     | :white_check_mark: |
| < 1.4   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability in the [advisories section at GitHub](https://github.com/kevinpapst/kimai2/security/advisories) or via email to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release / security update. 
Depending on the size of the required fixes, this might take a couple of hours or a couple of days.

You can expect that your message will be answered ASAP, but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release notes within the Security section at the top of the release. 
I am grateful for any (discrete) disclosure of vulnerabilities!","# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 1.5     | :white_check_mark: |
| < 1.5   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability in the [advisories section at GitHub](https://github.com/kevinpapst/kimai2/security/advisories) or via email to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release / security update. 
Depending on the size of the required fixes, this might take a couple of hours or a couple of days.

You can expect that your message will be answered ASAP, but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release notes within the Security section at the top of the release. 
I am grateful for any (discrete) disclosure of vulnerabilities!",2,b kevinpapst/kimai2 140fa4b7c0bf2fd4b9111685f4c54e8cd2168d55
kevinpapst/kimai2,SECURITY.md,936ab05882c118ada441246ba0be9d6973e0458f,2019-11-23 23:02:43+00:00,"# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 1.5     | :white_check_mark: |
| < 1.5   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability in the [advisories section at GitHub](https://github.com/kevinpapst/kimai2/security/advisories) or via email to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release / security update. 
Depending on the size of the required fixes, this might take a couple of hours or a couple of days.

You can expect that your message will be answered ASAP, but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release notes within the Security section at the top of the release. 
I am grateful for any (discrete) disclosure of vulnerabilities!","# Security Policy

## Supported Versions

As announced in the [README](README.md) I only support the latest available release and master.

| Version | Supported          |
| ------- | ------------------ |
| master  | :white_check_mark: |
| 1.6     | :white_check_mark: |
| < 1.6   | :x:                |

## Reporting a Vulnerability

Please report any security related vulnerability in the [advisories section at GitHub](https://github.com/kevinpapst/kimai2/security/advisories) or via email to info@keleo.de or kpapst@gmx.net.

I will work as fast as I can to fix the problem and publish a bugfix release / security update. 
Depending on the size of the required fixes, this might take a couple of hours or a couple of days.

You can expect that your message will be answered ASAP, but please take into account that I am living in the timezone Europe/Berlin. 

If your issue is valid and I verified and fixed it, you will be mentioned in the release notes within the Security section at the top of the release. 
I am grateful for any (discrete) disclosure of vulnerabilities!",2,b kevinpapst/kimai2 936ab05882c118ada441246ba0be9d6973e0458f
