repo,path,sha,date_time,previous_content,content,levenshtein_distance,bcompare
namelessmc/nameless,SECURITY.md,640bfbbd4b26acb7cc1c67f392408ae2539dc17a,2021-08-23 17:31:57+00:00,,"# Security Policy

We endeavour to respond to and patch high-severity security vulnerabilities as soon as we possibly can, however we are currently unable to provide a guaranteed timeframe for a course of action.

## Supported Versions

The following NamelessMC releases are supported by the development team

| Version | Supported          |
| ------- | ------------------ |
| 2.0.0-pr10   | :white_check_mark: |
| <= 2.0.0-pr9   | :x:                |
| 1.0.21  | :white_check_mark: |
| <= 1.0.20   | :x:                |

## Reporting a Vulnerability

Currently, the best place to report a vulnerability is either via email or Discord.

- Email address: samerton7@gmail.com (temporary - we'll get a fancy one set up in the near future)
- Discord server: https://discord.gg/nameless -> Samerton#9433
",802,b namelessmc/nameless 640bfbbd4b26acb7cc1c67f392408ae2539dc17a
namelessmc/nameless,SECURITY.md,30b9b8e80fc4891f390fc9147b31d0746a424fa5,2021-08-24 20:05:42+00:00,"# Security Policy

We endeavour to respond to and patch high-severity security vulnerabilities as soon as we possibly can, however we are currently unable to provide a guaranteed timeframe for a course of action.

## Supported Versions

The following NamelessMC releases are supported by the development team

| Version | Supported          |
| ------- | ------------------ |
| 2.0.0-pr10   | :white_check_mark: |
| <= 2.0.0-pr9   | :x:                |
| 1.0.21  | :white_check_mark: |
| <= 1.0.20   | :x:                |

## Reporting a Vulnerability

Currently, the best place to report a vulnerability is either via email or Discord.

- Email address: samerton7@gmail.com (temporary - we'll get a fancy one set up in the near future)
- Discord server: https://discord.gg/nameless -> Samerton#9433
","# Security Policy

We endeavour to respond to and patch high-severity security vulnerabilities as soon as we possibly can, however we are currently unable to provide a guaranteed timeframe for a course of action.

## Supported Versions

The following NamelessMC releases are supported by the development team

| Version | Supported          |
| ------- | ------------------ |
| 2.0.0-pr11   | :white_check_mark: |
| <= 2.0.0-pr10   | :x:                |
| 1.0.21  | :white_check_mark: |
| <= 1.0.20   | :x:                |

## Reporting a Vulnerability

Currently, the best place to report a vulnerability is either via email or Discord.

- Email address: samerton7@gmail.com (temporary - we'll get a fancy one set up in the near future)
- Discord server: https://discord.gg/nameless -> Samerton#9433
",3,b namelessmc/nameless 30b9b8e80fc4891f390fc9147b31d0746a424fa5
namelessmc/nameless,SECURITY.md,e348be48c2556ceae9a37af85f8adff702f93d2c,2021-10-10 10:40:23+00:00,"# Security Policy

We endeavour to respond to and patch high-severity security vulnerabilities as soon as we possibly can, however we are currently unable to provide a guaranteed timeframe for a course of action.

## Supported Versions

The following NamelessMC releases are supported by the development team

| Version | Supported          |
| ------- | ------------------ |
| 2.0.0-pr11   | :white_check_mark: |
| <= 2.0.0-pr10   | :x:                |
| 1.0.21  | :white_check_mark: |
| <= 1.0.20   | :x:                |

## Reporting a Vulnerability

Currently, the best place to report a vulnerability is either via email or Discord.

- Email address: samerton7@gmail.com (temporary - we'll get a fancy one set up in the near future)
- Discord server: https://discord.gg/nameless -> Samerton#9433
","# Security Policy

We endeavour to respond to and patch high-severity security vulnerabilities as soon as we possibly can, however we are currently unable to provide a guaranteed timeframe for a course of action.

## Supported Versions

The following NamelessMC releases are supported by the development team

| Version | Supported          |
| ------- | ------------------ |
| 2.0.0-pr12   | :white_check_mark: |
| <= 2.0.0-pr11   | :x:                |
| 1.0.21  | :white_check_mark: |
| <= 1.0.20   | :x:                |

## Reporting a Vulnerability

Currently, the best place to report a vulnerability is either via email or Discord.

- Email address: samerton7@gmail.com (temporary - we'll get a fancy one set up in the near future)
- Discord server: https://discord.gg/nameless -> Samerton#9433
",2,b namelessmc/nameless e348be48c2556ceae9a37af85f8adff702f93d2c
namelessmc/nameless,SECURITY.md,f68c32e70ca763dc02333f2185d6dd4c5de476be,2022-06-02 21:45:23+00:00,"# Security Policy

We endeavour to respond to and patch high-severity security vulnerabilities as soon as we possibly can, however we are currently unable to provide a guaranteed timeframe for a course of action.

## Supported Versions

The following NamelessMC releases are supported by the development team

| Version | Supported          |
| ------- | ------------------ |
| 2.0.0-pr12   | :white_check_mark: |
| <= 2.0.0-pr11   | :x:                |
| 1.0.21  | :white_check_mark: |
| <= 1.0.20   | :x:                |

## Reporting a Vulnerability

Currently, the best place to report a vulnerability is either via email or Discord.

- Email address: samerton7@gmail.com (temporary - we'll get a fancy one set up in the near future)
- Discord server: https://discord.gg/nameless -> Samerton#9433
","# Security Policy

We endeavour to respond to and patch high-severity security vulnerabilities as soon as we possibly can, however we are currently unable to provide a guaranteed timeframe for a course of action.

## Supported Versions

The following NamelessMC releases are supported by the development team

| Version       | Supported          |
|---------------| ------------------ |
| 2.0.0-pr13    | :white_check_mark: |
| <= 2.0.0-pr12 | :x:                |
| 1.0.21        | :white_check_mark: |
| <= 1.0.20     | :x:                |

## Reporting a Vulnerability

Currently, the best place to report a vulnerability is either via email or Discord.

- Email address: samerton7@gmail.com (temporary - we'll get a fancy one set up in the near future)
- Discord server: https://discord.gg/nameless -> Samerton#9433
",27,b namelessmc/nameless f68c32e70ca763dc02333f2185d6dd4c5de476be
namelessmc/nameless,SECURITY.md,bb58bd4f67117af65b21a076f7490ac3aacc18e8,2022-06-25 20:14:42+00:00,"# Security Policy

We endeavour to respond to and patch high-severity security vulnerabilities as soon as we possibly can, however we are currently unable to provide a guaranteed timeframe for a course of action.

## Supported Versions

The following NamelessMC releases are supported by the development team

| Version       | Supported          |
|---------------| ------------------ |
| 2.0.0-pr13    | :white_check_mark: |
| <= 2.0.0-pr12 | :x:                |
| 1.0.21        | :white_check_mark: |
| <= 1.0.20     | :x:                |

## Reporting a Vulnerability

Currently, the best place to report a vulnerability is either via email or Discord.

- Email address: samerton7@gmail.com (temporary - we'll get a fancy one set up in the near future)
- Discord server: https://discord.gg/nameless -> Samerton#9433
","# Security Policy

We endeavour to respond to and patch high-severity security vulnerabilities as soon as we possibly can, however we are currently unable to provide a guaranteed timeframe for a course of action.

## Supported Versions

The following NamelessMC releases are supported by the development team

| Version       | Supported          |
|---------------| ------------------ |
| 2.0.0-pr13    | :white_check_mark: |
| <= 2.0.0-pr12 | :x:                |
| 1.0.22        | :white_check_mark: |
| <= 1.0.21     | :x:                |

## Reporting a Vulnerability

Currently, the best place to report a vulnerability is either via email or Discord.

- Email address: samerton7@gmail.com (temporary - we'll get a fancy one set up in the near future)
- Discord server: https://discord.gg/nameless -> Samerton#9433
",2,b namelessmc/nameless bb58bd4f67117af65b21a076f7490ac3aacc18e8
namelessmc/nameless,SECURITY.md,d22df9f72595d389323fa16e1b1e51b4367f46ee,2022-07-03 17:28:27+00:00,"# Security Policy

We endeavour to respond to and patch high-severity security vulnerabilities as soon as we possibly can, however we are currently unable to provide a guaranteed timeframe for a course of action.

## Supported Versions

The following NamelessMC releases are supported by the development team

| Version       | Supported          |
|---------------| ------------------ |
| 2.0.0-pr13    | :white_check_mark: |
| <= 2.0.0-pr12 | :x:                |
| 1.0.22        | :white_check_mark: |
| <= 1.0.21     | :x:                |

## Reporting a Vulnerability

Currently, the best place to report a vulnerability is either via email or Discord.

- Email address: samerton7@gmail.com (temporary - we'll get a fancy one set up in the near future)
- Discord server: https://discord.gg/nameless -> Samerton#9433
","# Security Policy

We endeavour to respond to and patch high-severity security vulnerabilities as soon as we possibly can, however we are currently unable to provide a guaranteed timeframe for a course of action.

## Supported Versions

The following NamelessMC releases are supported by the development team

| Version       | Supported          |
|---------------| ------------------ |
| 2.0.0-pr13    | :white_check_mark: |
| <= 2.0.0-pr12 | :x:                |
| 1.0.22        | :white_check_mark: |
| <= 1.0.21     | :x:                |

## Reporting a Vulnerability

Currently, the best place to report a vulnerability is either via email or Discord.

- huntr.dev - https://huntr.dev/repos/namelessmc/nameless
- Discord server: https://discord.gg/nameless -> Samerton#9433
",82,b namelessmc/nameless d22df9f72595d389323fa16e1b1e51b4367f46ee
namelessmc/nameless,SECURITY.md,6e9faa3ab5caeec208fabc45f4d80cba53922467,2022-08-05 22:19:02+00:00,"# Security Policy

We endeavour to respond to and patch high-severity security vulnerabilities as soon as we possibly can, however we are currently unable to provide a guaranteed timeframe for a course of action.

## Supported Versions

The following NamelessMC releases are supported by the development team

| Version       | Supported          |
|---------------| ------------------ |
| 2.0.0-pr13    | :white_check_mark: |
| <= 2.0.0-pr12 | :x:                |
| 1.0.22        | :white_check_mark: |
| <= 1.0.21     | :x:                |

## Reporting a Vulnerability

Currently, the best place to report a vulnerability is either via email or Discord.

- huntr.dev - https://huntr.dev/repos/namelessmc/nameless
- Discord server: https://discord.gg/nameless -> Samerton#9433
","# Security Policy

We endeavour to respond to and patch high-severity security vulnerabilities as soon as we possibly can, however we are currently unable to provide a guaranteed timeframe for a course of action.

## Supported Versions

The following NamelessMC releases are supported by the development team

| Version       | Supported          |
|---------------|--------------------|
| 2.0.0         | :white_check_mark: |
| <= 2.0.0-pr13 | :x:                |
| <= 1.0.22     | :x:                |

## Reporting a Vulnerability

Currently, the best place to report a vulnerability is either via email or Discord.

- huntr.dev - https://huntr.dev/repos/namelessmc/nameless
- Discord server: https://discord.gg/nameless -> Samerton#9433
",48,b namelessmc/nameless 6e9faa3ab5caeec208fabc45f4d80cba53922467
namelessmc/nameless,SECURITY.md,67a956b373356b1e69e52680d007da4df1f2e1a2,2022-08-06 09:46:39+00:00,"# Security Policy

We endeavour to respond to and patch high-severity security vulnerabilities as soon as we possibly can, however we are currently unable to provide a guaranteed timeframe for a course of action.

## Supported Versions

The following NamelessMC releases are supported by the development team

| Version       | Supported          |
|---------------|--------------------|
| 2.0.0         | :white_check_mark: |
| <= 2.0.0-pr13 | :x:                |
| <= 1.0.22     | :x:                |

## Reporting a Vulnerability

Currently, the best place to report a vulnerability is either via email or Discord.

- huntr.dev - https://huntr.dev/repos/namelessmc/nameless
- Discord server: https://discord.gg/nameless -> Samerton#9433
","# Security Policy

We endeavour to respond to and patch high-severity security vulnerabilities as soon as we possibly can, however we are currently unable to provide a guaranteed timeframe for a course of action.

## Supported Versions

The following NamelessMC releases are supported by the development team

| Version       | Supported          |
|---------------|--------------------|
| 2.0.x         | :white_check_mark: |
| <= 2.0.0-pr13 | :x:                |
| <= 1.0.22     | :x:                |

## Reporting a Vulnerability

Currently, the best place to report a vulnerability is either via email or Discord.

- huntr.dev - https://huntr.dev/repos/namelessmc/nameless
- Discord server: https://discord.gg/nameless -> Samerton#9433
",1,b namelessmc/nameless 67a956b373356b1e69e52680d007da4df1f2e1a2
namelessmc/nameless,SECURITY.md,8d09a86cb8dc08a0fb5ea3f1c91d2bbbed695313,2023-03-24 03:01:23+00:00,"# Security Policy

We endeavour to respond to and patch high-severity security vulnerabilities as soon as we possibly can, however we are currently unable to provide a guaranteed timeframe for a course of action.

## Supported Versions

The following NamelessMC releases are supported by the development team

| Version       | Supported          |
|---------------|--------------------|
| 2.0.x         | :white_check_mark: |
| <= 2.0.0-pr13 | :x:                |
| <= 1.0.22     | :x:                |

## Reporting a Vulnerability

Currently, the best place to report a vulnerability is either via email or Discord.

- huntr.dev - https://huntr.dev/repos/namelessmc/nameless
- Discord server: https://discord.gg/nameless -> Samerton#9433
",,742,b namelessmc/nameless 8d09a86cb8dc08a0fb5ea3f1c91d2bbbed695313
namelessmc/nameless,.github/SECURITY.md,8d09a86cb8dc08a0fb5ea3f1c91d2bbbed695313,2023-03-24 03:01:23+00:00,,"# Security Policy

We endeavour to respond to and patch high-severity security vulnerabilities as soon as we possibly can, however we are currently unable to provide a guaranteed timeframe for a course of action.

## Supported Versions

The following NamelessMC releases are supported by the development team

| Version       | Supported          |
|---------------|--------------------|
| 2.0.x         | :white_check_mark: |
| <= 2.0.0-pr13 | :x:                |
| <= 1.0.22     | :x:                |

## Reporting a Vulnerability

Currently, the best place to report a vulnerability is either via email or Discord.

- huntr.dev - https://huntr.dev/repos/namelessmc/nameless
- Discord server: https://discord.gg/nameless -> Samerton#9433
",742,b namelessmc/nameless 8d09a86cb8dc08a0fb5ea3f1c91d2bbbed695313
