repo,path,sha,date_time,previous_content,content,levenshtein_distance,bcompare
yogeshojha/rengine,SECURITY.md,d65ae214d5780a9ef4e554471775fb68655cc9ba,2020-06-27 15:29:30+00:00,,"# Security Policy
When I started out **rengine**, I had very little or no knowledge on Django. So I believe there could be many security vulnerabilities. 
Please report the security vulnerabilities via Issues Section or email yogesh.ojha11@(gmail).com

The community will be thankful to your contributions. :star:

## Reporting a Vulnerability

Please report all security issues [here](https://github.com/yogeshojha/rengine/issues) or email yogesh.ojha11@(gmail).com

## Past Security Vulnerabilities
",501,b yogeshojha/rengine d65ae214d5780a9ef4e554471775fb68655cc9ba
yogeshojha/rengine,SECURITY.md,057bc49d2cfc41b35a2ae0eb7b022ae17551a241,2020-07-10 15:35:33+00:00,"# Security Policy
When I started out **rengine**, I had very little or no knowledge on Django. So I believe there could be many security vulnerabilities. 
Please report the security vulnerabilities via Issues Section or email yogesh.ojha11@(gmail).com

The community will be thankful to your contributions. :star:

## Reporting a Vulnerability

Please report all security issues [here](https://github.com/yogeshojha/rengine/issues) or email yogesh.ojha11@(gmail).com

## Past Security Vulnerabilities
",,501,b yogeshojha/rengine 057bc49d2cfc41b35a2ae0eb7b022ae17551a241
yogeshojha/rengine,.github/SECURITY.md,057bc49d2cfc41b35a2ae0eb7b022ae17551a241,2020-07-10 15:35:33+00:00,,"# Security Policy
When I started out **rengine**, I had very little or no knowledge on Django. So I believe there could be many security vulnerabilities. 
Please report the security vulnerabilities via Issues Section or email yogesh.ojha11@(gmail).com

The community will be thankful to your contributions. :star:

## Reporting a Vulnerability

Please report all security issues [here](https://github.com/yogeshojha/rengine/issues) or email yogesh.ojha11@(gmail).com

## Past Security Vulnerabilities
",501,b yogeshojha/rengine 057bc49d2cfc41b35a2ae0eb7b022ae17551a241
yogeshojha/rengine,.github/SECURITY.md,70b6d4985f16005ae97ae659db75ed9fcf55241f,2020-08-01 15:09:08+00:00,"# Security Policy
When I started out **rengine**, I had very little or no knowledge on Django. So I believe there could be many security vulnerabilities. 
Please report the security vulnerabilities via Issues Section or email yogesh.ojha11@(gmail).com

The community will be thankful to your contributions. :star:

## Reporting a Vulnerability

Please report all security issues [here](https://github.com/yogeshojha/rengine/issues) or email yogesh.ojha11@(gmail).com

## Past Security Vulnerabilities
","# Security Policy
When I started out **rengine**, I had very little or no knowledge on Django. So I believe there could be many security vulnerabilities.
Please report the security vulnerabilities via Issues Section or email yogesh.ojha11@(gmail).com

The community will be thankful to your contributions. :star:

## Reporting a Vulnerability

Please report all security issues [here](https://github.com/yogeshojha/rengine/issues) or email yogesh.ojha11@(gmail).com

## Past Security Vulnerabilities

* Reflected XSS on Detail Scan Page via Page Title Parameter, Reported by [omemishra](https://github.com/omemishra)
",118,b yogeshojha/rengine 70b6d4985f16005ae97ae659db75ed9fcf55241f
yogeshojha/rengine,.github/SECURITY.md,c1f80af150093a08473363d584c9075b7805c383,2021-02-23 05:45:57+00:00,"# Security Policy
When I started out **rengine**, I had very little or no knowledge on Django. So I believe there could be many security vulnerabilities.
Please report the security vulnerabilities via Issues Section or email yogesh.ojha11@(gmail).com

The community will be thankful to your contributions. :star:

## Reporting a Vulnerability

Please report all security issues [here](https://github.com/yogeshojha/rengine/issues) or email yogesh.ojha11@(gmail).com

## Past Security Vulnerabilities

* Reflected XSS on Detail Scan Page via Page Title Parameter, Reported by [omemishra](https://github.com/omemishra)
","# Security Policy
When I started out **rengine**, I had very little or no knowledge on Django. So I believe there could be many security vulnerabilities.
Please report the security vulnerabilities via Issues Section or email yogesh.ojha11@(gmail).com

The community will be thankful to your contributions. :star:

## Reporting a Vulnerability

Please report all security issues [here](https://github.com/yogeshojha/rengine/issues) or email yogesh.ojha11@(gmail).com

## Past Security Vulnerabilities

* [Stored XSS](https://github.com/yogeshojha/rengine/issues/178) on Detail Scan Page via Page Title Parameter, Reported by [omemishra](https://github.com/omemishra)
* [Stored XSS](https://github.com/yogeshojha/rengine/issues/347) on Vulnerability Scan page via URL Parameter, Reported by [Arif Khan, payloadartist](https://twitter.com/payloadartist)

**reNgine thanks the following people for making a responsible disclosure and helping the community make reNgine more safer!**

* [onemishra](https://github.com/omemishra)
* [Arif Khan, payloadartist](https://twitter.com/payloadartist)
",480,b yogeshojha/rengine c1f80af150093a08473363d584c9075b7805c383
yogeshojha/rengine,.github/SECURITY.md,60abae4eebde1f5220f331b4cff2801179de8e59,2021-02-23 05:47:43+00:00,"# Security Policy
When I started out **rengine**, I had very little or no knowledge on Django. So I believe there could be many security vulnerabilities.
Please report the security vulnerabilities via Issues Section or email yogesh.ojha11@(gmail).com

The community will be thankful to your contributions. :star:

## Reporting a Vulnerability

Please report all security issues [here](https://github.com/yogeshojha/rengine/issues) or email yogesh.ojha11@(gmail).com

## Past Security Vulnerabilities

* [Stored XSS](https://github.com/yogeshojha/rengine/issues/178) on Detail Scan Page via Page Title Parameter, Reported by [omemishra](https://github.com/omemishra)
* [Stored XSS](https://github.com/yogeshojha/rengine/issues/347) on Vulnerability Scan page via URL Parameter, Reported by [Arif Khan, payloadartist](https://twitter.com/payloadartist)

**reNgine thanks the following people for making a responsible disclosure and helping the community make reNgine more safer!**

* [onemishra](https://github.com/omemishra)
* [Arif Khan, payloadartist](https://twitter.com/payloadartist)
","# Security Policy
When I started out **rengine**, I had very little or no knowledge on Django. So I believe there could be many security vulnerabilities.
Please report the security vulnerabilities via Issues Section or email yogesh.ojha11@(gmail).com

The community will be thankful to your contributions. :star:

## Reporting a Vulnerability

Please report all security issues [here](https://github.com/yogeshojha/rengine/issues) or email yogesh.ojha11@(gmail).com

## Past Security Vulnerabilities

* [Stored XSS](https://github.com/yogeshojha/rengine/issues/178) on Detail Scan Page via Page Title Parameter, Reported by [omemishra](https://github.com/omemishra)
* [Stored XSS](https://github.com/yogeshojha/rengine/issues/347) on Vulnerability Scan page via URL Parameter, Reported by [Arif Khan, payloadartist](https://twitter.com/payloadartist)

**reNgine thanks the following people for making a responsible disclosure and helping the community make reNgine safer!**

* [onemishra](https://github.com/omemishra)
* [Arif Khan, payloadartist](https://twitter.com/payloadartist)
",5,b yogeshojha/rengine 60abae4eebde1f5220f331b4cff2801179de8e59
yogeshojha/rengine,.github/SECURITY.md,412c5ce749d2dd66b70b276314e46f0c0518ff1e,2021-08-23 06:55:55+00:00,"# Security Policy
When I started out **rengine**, I had very little or no knowledge on Django. So I believe there could be many security vulnerabilities.
Please report the security vulnerabilities via Issues Section or email yogesh.ojha11@(gmail).com

The community will be thankful to your contributions. :star:

## Reporting a Vulnerability

Please report all security issues [here](https://github.com/yogeshojha/rengine/issues) or email yogesh.ojha11@(gmail).com

## Past Security Vulnerabilities

* [Stored XSS](https://github.com/yogeshojha/rengine/issues/178) on Detail Scan Page via Page Title Parameter, Reported by [omemishra](https://github.com/omemishra)
* [Stored XSS](https://github.com/yogeshojha/rengine/issues/347) on Vulnerability Scan page via URL Parameter, Reported by [Arif Khan, payloadartist](https://twitter.com/payloadartist)

**reNgine thanks the following people for making a responsible disclosure and helping the community make reNgine safer!**

* [onemishra](https://github.com/omemishra)
* [Arif Khan, payloadartist](https://twitter.com/payloadartist)
","# Security Policy
When I started out **rengine**, I had very little or no knowledge on Django. So I believe there could be many security vulnerabilities.
Please report the security vulnerabilities via Issues Section or email yogesh.ojha11@(gmail).com

The community will be thankful to your contributions. :star:

## Reporting a Vulnerability

Please report all security issues [here](https://github.com/yogeshojha/rengine/issues) or email yogesh.ojha11@(gmail).com

## Past Security Vulnerabilities

* [Stored XSS](https://github.com/yogeshojha/rengine/issues/178) on Detail Scan Page via Page Title Parameter, Reported by [omemishra](https://github.com/omemishra)

* [Stored XSS](https://github.com/yogeshojha/rengine/issues/347) on Vulnerability Scan page via URL Parameter, Reported by [Arif Khan, payloadartist](https://twitter.com/payloadartist)

* Several Instances of XSS in reNgine 1.0 (#460, #459, #458, #457, #456, #455), Reported by [Binit Ghimire](https://github.com/TheBinitGhimire)

**reNgine thanks the following people for making a responsible disclosure and helping the community make reNgine safer!**

* [onemishra](https://github.com/omemishra)
* [Arif Khan, payloadartist](https://twitter.com/payloadartist)
* [Binit Ghimire](https://github.com/TheBinitGhimire)
",200,b yogeshojha/rengine 412c5ce749d2dd66b70b276314e46f0c0518ff1e
yogeshojha/rengine,.github/SECURITY.md,9f2cfe47c0197fca05f397784abab867dc3a56ac,2021-08-23 11:11:14+00:00,"# Security Policy
When I started out **rengine**, I had very little or no knowledge on Django. So I believe there could be many security vulnerabilities.
Please report the security vulnerabilities via Issues Section or email yogesh.ojha11@(gmail).com

The community will be thankful to your contributions. :star:

## Reporting a Vulnerability

Please report all security issues [here](https://github.com/yogeshojha/rengine/issues) or email yogesh.ojha11@(gmail).com

## Past Security Vulnerabilities

* [Stored XSS](https://github.com/yogeshojha/rengine/issues/178) on Detail Scan Page via Page Title Parameter, Reported by [omemishra](https://github.com/omemishra)

* [Stored XSS](https://github.com/yogeshojha/rengine/issues/347) on Vulnerability Scan page via URL Parameter, Reported by [Arif Khan, payloadartist](https://twitter.com/payloadartist)

* Several Instances of XSS in reNgine 1.0 (#460, #459, #458, #457, #456, #455), Reported by [Binit Ghimire](https://github.com/TheBinitGhimire)

**reNgine thanks the following people for making a responsible disclosure and helping the community make reNgine safer!**

* [onemishra](https://github.com/omemishra)
* [Arif Khan, payloadartist](https://twitter.com/payloadartist)
* [Binit Ghimire](https://github.com/TheBinitGhimire)
","# Security Policy
[![huntr](https://cdn.huntr.dev/huntr_security_badge_mono.svg)](https://huntr.dev/bounties/disclose/?target=https%3A%2F%2Fgithub.com%2Fyogeshojha%2Frengine)

Security Researchers, welcome onboard! I am excited to announce bug bounty program for reNgine in collaboration with [huntr.dev](https://huntr.dev), this means you'll be rewarded for any security vulnerabilities discovered in reNgine.

Thank you for your interest in reporting vulnerabilities to reNgine! If you are aware of potential security vulnerabilities within reNgine, we encourage you to report immediately via [huntr.dev](https://huntr.dev/bounties/disclose/?target=https%3A%2F%2Fgithub.com%2Fyogeshojha%2Frengine)

**Please do not disclose any vulnerabilities via Github Issues/Blogs/Tweets after/before reporting on huntr.dev as it is explicitly against huntr.dev and reNgine disclosure policy and will not be eligible for monetary rewards.**

Please note that the maintainer of reNgine does not determine the bounty amount. 
The bounty reward is determined by industry-first equation from huntr.dev to understand the popularity, impact and value of repositories to the open source community.

**What do we expect from security researchers?**

* Patience: Please note that currently I am the only maintainer in reNgine and will take sometime to validate your report. I request your patience throughout the process.
* Respect Privacy and Security Reports: Please do not disclose any vulnerabilities in public (this also includes github issues) before or after reporting on huntr.dev! That is against the disclosure policy and will not be eligible for monetary rewards.
* Respect the rules

**What do I get in return?**

* Much thanks from Maintainer
* Monetary Rewards
* CVE ID(s)

Please find the [FAQ](https://www.huntr.dev/faq) and [Responsible disclosure policy](https://www.huntr.dev/policy/) from huntr.dev.

## Past Security Vulnerabilities

* [Stored XSS](https://github.com/yogeshojha/rengine/issues/178) on Detail Scan Page via Page Title Parameter, Reported by [omemishra](https://github.com/omemishra)

* [Stored XSS](https://github.com/yogeshojha/rengine/issues/347) on Vulnerability Scan page via URL Parameter, Reported by [Arif Khan, payloadartist](https://twitter.com/payloadartist)

* Several Instances of XSS in reNgine 1.0 (#460, #459, #458, #457, #456, #455), Reported by [Binit Ghimire](https://github.com/TheBinitGhimire)

**reNgine thanks the following people for making a responsible disclosure and helping the community make reNgine safer!**

* [onemishra](https://github.com/omemishra)
* [Arif Khan, payloadartist](https://twitter.com/payloadartist)
* [Binit Ghimire](https://github.com/TheBinitGhimire)
",1570,b yogeshojha/rengine 9f2cfe47c0197fca05f397784abab867dc3a56ac
yogeshojha/rengine,.github/SECURITY.md,213bcee4b6e2243240cbcaba2338e3fa8ab551ed,2022-05-14 20:15:24+00:00,"# Security Policy
[![huntr](https://cdn.huntr.dev/huntr_security_badge_mono.svg)](https://huntr.dev/bounties/disclose/?target=https%3A%2F%2Fgithub.com%2Fyogeshojha%2Frengine)

Security Researchers, welcome onboard! I am excited to announce bug bounty program for reNgine in collaboration with [huntr.dev](https://huntr.dev), this means you'll be rewarded for any security vulnerabilities discovered in reNgine.

Thank you for your interest in reporting vulnerabilities to reNgine! If you are aware of potential security vulnerabilities within reNgine, we encourage you to report immediately via [huntr.dev](https://huntr.dev/bounties/disclose/?target=https%3A%2F%2Fgithub.com%2Fyogeshojha%2Frengine)

**Please do not disclose any vulnerabilities via Github Issues/Blogs/Tweets after/before reporting on huntr.dev as it is explicitly against huntr.dev and reNgine disclosure policy and will not be eligible for monetary rewards.**

Please note that the maintainer of reNgine does not determine the bounty amount. 
The bounty reward is determined by industry-first equation from huntr.dev to understand the popularity, impact and value of repositories to the open source community.

**What do we expect from security researchers?**

* Patience: Please note that currently I am the only maintainer in reNgine and will take sometime to validate your report. I request your patience throughout the process.
* Respect Privacy and Security Reports: Please do not disclose any vulnerabilities in public (this also includes github issues) before or after reporting on huntr.dev! That is against the disclosure policy and will not be eligible for monetary rewards.
* Respect the rules

**What do I get in return?**

* Much thanks from Maintainer
* Monetary Rewards
* CVE ID(s)

Please find the [FAQ](https://www.huntr.dev/faq) and [Responsible disclosure policy](https://www.huntr.dev/policy/) from huntr.dev.

## Past Security Vulnerabilities

* [Stored XSS](https://github.com/yogeshojha/rengine/issues/178) on Detail Scan Page via Page Title Parameter, Reported by [omemishra](https://github.com/omemishra)

* [Stored XSS](https://github.com/yogeshojha/rengine/issues/347) on Vulnerability Scan page via URL Parameter, Reported by [Arif Khan, payloadartist](https://twitter.com/payloadartist)

* Several Instances of XSS in reNgine 1.0 (#460, #459, #458, #457, #456, #455), Reported by [Binit Ghimire](https://github.com/TheBinitGhimire)

**reNgine thanks the following people for making a responsible disclosure and helping the community make reNgine safer!**

* [onemishra](https://github.com/omemishra)
* [Arif Khan, payloadartist](https://twitter.com/payloadartist)
* [Binit Ghimire](https://github.com/TheBinitGhimire)
","# Security Policy
[![huntr](https://cdn.huntr.dev/huntr_security_badge_mono.svg)](https://huntr.dev/bounties/disclose/?target=https%3A%2F%2Fgithub.com%2Fyogeshojha%2Frengine)

Security Researchers, welcome onboard! I am excited to announce bug bounty program for reNgine in collaboration with [huntr.dev](https://huntr.dev), this means you'll be rewarded for any security vulnerabilities discovered in reNgine.

Thank you for your interest in reporting vulnerabilities to reNgine! If you are aware of potential security vulnerabilities within reNgine, we encourage you to report immediately via [huntr.dev](https://huntr.dev/bounties/disclose/?target=https%3A%2F%2Fgithub.com%2Fyogeshojha%2Frengine)

**Please do not disclose any vulnerabilities via Github Issues/Blogs/Tweets after/before reporting on huntr.dev as it is explicitly against huntr.dev and reNgine disclosure policy and will not be eligible for monetary rewards.**

Please note that the maintainer of reNgine does not determine the bounty amount.
The bounty reward is determined by industry-first equation from huntr.dev to understand the popularity, impact and value of repositories to the open source community.

**What do we expect from security researchers?**

* Patience: Please note that currently I am the only maintainer in reNgine and will take sometime to validate your report. I request your patience throughout the process.
* Respect Privacy and Security Reports: Please do not disclose any vulnerabilities in public (this also includes github issues) before or after reporting on huntr.dev! That is against the disclosure policy and will not be eligible for monetary rewards.
* Respect the rules

**What do I get in return?**

* Much thanks from Maintainer
* Monetary Rewards
* CVE ID(s)

Please find the [FAQ](https://www.huntr.dev/faq) and [Responsible disclosure policy](https://www.huntr.dev/policy/) from huntr.dev.

## Past Security Vulnerabilities

* [Stored XSS](https://github.com/yogeshojha/rengine/issues/178) on Detail Scan Page via Page Title Parameter, Reported by [omemishra](https://github.com/omemishra)

* [Stored XSS](https://github.com/yogeshojha/rengine/issues/347) on Vulnerability Scan page via URL Parameter, Reported by [Arif Khan, payloadartist](https://twitter.com/payloadartist)

* Several Instances of XSS in reNgine 1.0 (#460, #459, #458, #457, #456, #455), Reported by [Binit Ghimire](https://github.com/TheBinitGhimire)

* [Stored XSS](https://huntr.dev/bounties/dfd440ba-4330-413c-8b21-a3d8bf02a67e/) on Import Targets via filename, Reported by [Veeshraj Ghimire](https://github.com/V35HR4J)

**reNgine thanks the following people for making a responsible disclosure and helping the community make reNgine safer!**

* [onemishra](https://github.com/omemishra)
* [Arif Khan, payloadartist](https://twitter.com/payloadartist)
* [Binit Ghimire](https://github.com/TheBinitGhimire)
",174,b yogeshojha/rengine 213bcee4b6e2243240cbcaba2338e3fa8ab551ed
yogeshojha/rengine,.github/SECURITY.md,669a93e69b8a705a203eff76d8899ace1f9da3ae,2022-05-22 13:56:24+00:00,"# Security Policy
[![huntr](https://cdn.huntr.dev/huntr_security_badge_mono.svg)](https://huntr.dev/bounties/disclose/?target=https%3A%2F%2Fgithub.com%2Fyogeshojha%2Frengine)

Security Researchers, welcome onboard! I am excited to announce bug bounty program for reNgine in collaboration with [huntr.dev](https://huntr.dev), this means you'll be rewarded for any security vulnerabilities discovered in reNgine.

Thank you for your interest in reporting vulnerabilities to reNgine! If you are aware of potential security vulnerabilities within reNgine, we encourage you to report immediately via [huntr.dev](https://huntr.dev/bounties/disclose/?target=https%3A%2F%2Fgithub.com%2Fyogeshojha%2Frengine)

**Please do not disclose any vulnerabilities via Github Issues/Blogs/Tweets after/before reporting on huntr.dev as it is explicitly against huntr.dev and reNgine disclosure policy and will not be eligible for monetary rewards.**

Please note that the maintainer of reNgine does not determine the bounty amount.
The bounty reward is determined by industry-first equation from huntr.dev to understand the popularity, impact and value of repositories to the open source community.

**What do we expect from security researchers?**

* Patience: Please note that currently I am the only maintainer in reNgine and will take sometime to validate your report. I request your patience throughout the process.
* Respect Privacy and Security Reports: Please do not disclose any vulnerabilities in public (this also includes github issues) before or after reporting on huntr.dev! That is against the disclosure policy and will not be eligible for monetary rewards.
* Respect the rules

**What do I get in return?**

* Much thanks from Maintainer
* Monetary Rewards
* CVE ID(s)

Please find the [FAQ](https://www.huntr.dev/faq) and [Responsible disclosure policy](https://www.huntr.dev/policy/) from huntr.dev.

## Past Security Vulnerabilities

* [Stored XSS](https://github.com/yogeshojha/rengine/issues/178) on Detail Scan Page via Page Title Parameter, Reported by [omemishra](https://github.com/omemishra)

* [Stored XSS](https://github.com/yogeshojha/rengine/issues/347) on Vulnerability Scan page via URL Parameter, Reported by [Arif Khan, payloadartist](https://twitter.com/payloadartist)

* Several Instances of XSS in reNgine 1.0 (#460, #459, #458, #457, #456, #455), Reported by [Binit Ghimire](https://github.com/TheBinitGhimire)

* [Stored XSS](https://huntr.dev/bounties/dfd440ba-4330-413c-8b21-a3d8bf02a67e/) on Import Targets via filename, Reported by [Veeshraj Ghimire](https://github.com/V35HR4J)

**reNgine thanks the following people for making a responsible disclosure and helping the community make reNgine safer!**

* [onemishra](https://github.com/omemishra)
* [Arif Khan, payloadartist](https://twitter.com/payloadartist)
* [Binit Ghimire](https://github.com/TheBinitGhimire)
","# Security Policy
[![huntr](https://cdn.huntr.dev/huntr_security_badge_mono.svg)](https://huntr.dev/bounties/disclose/?target=https%3A%2F%2Fgithub.com%2Fyogeshojha%2Frengine)

Security Researchers, welcome onboard! I am excited to announce bug bounty program for reNgine in collaboration with [huntr.dev](https://huntr.dev), this means you'll be rewarded for any security vulnerabilities discovered in reNgine.

Thank you for your interest in reporting vulnerabilities to reNgine! If you are aware of potential security vulnerabilities within reNgine, we encourage you to report immediately via [huntr.dev](https://huntr.dev/bounties/disclose/?target=https%3A%2F%2Fgithub.com%2Fyogeshojha%2Frengine)

**Please do not disclose any vulnerabilities via Github Issues/Blogs/Tweets after/before reporting on huntr.dev as it is explicitly against huntr.dev and reNgine disclosure policy and will not be eligible for monetary rewards.**

Please note that the maintainer of reNgine does not determine the bounty amount.
The bounty reward is determined by industry-first equation from huntr.dev to understand the popularity, impact and value of repositories to the open source community.

**What do we expect from security researchers?**

* Patience: Please note that currently I am the only maintainer in reNgine and will take sometime to validate your report. I request your patience throughout the process.
* Respect Privacy and Security Reports: Please do not disclose any vulnerabilities in public (this also includes github issues) before or after reporting on huntr.dev! That is against the disclosure policy and will not be eligible for monetary rewards.
* Respect the rules

**What do I get in return?**

* Much thanks from Maintainer
* Monetary Rewards
* CVE ID(s)

Please find the [FAQ](https://www.huntr.dev/faq) and [Responsible disclosure policy](https://www.huntr.dev/policy/) from huntr.dev.

## Past Security Vulnerabilities

Thanks to these individuals for reporting Security Issues in reNgine.

* [Stored XSS](https://github.com/yogeshojha/rengine/issues/178) on Detail Scan Page via Page Title Parameter, Reported by [omemishra](https://github.com/omemishra)

* [Stored XSS](https://github.com/yogeshojha/rengine/issues/347) on Vulnerability Scan page via URL Parameter, Reported by [Arif Khan, payloadartist](https://twitter.com/payloadartist)

* Several Instances of XSS in reNgine 1.0 (#460, #459, #458, #457, #456, #455), Reported by [Binit Ghimire](https://github.com/TheBinitGhimire)

* [Stored XSS](https://huntr.dev/bounties/dfd440ba-4330-413c-8b21-a3d8bf02a67e/) on Import Targets via filename, Reported by [Veeshraj Ghimire](https://github.com/V35HR4J)

* [Stored XSS](https://huntr.dev/bounties/8ea5d3a6-f857-45e4-9473-e4d9cb8f7c77/) on HackerOne Markdown template, Reported by [Smaran Chand](https://github.com/smaranchand) and [Ayoub Elaich](https://github.com/sicks3c)



**reNgine thanks the following people for making a responsible disclosure and helping the community make reNgine safer!**

* [onemishra](https://github.com/omemishra)
* [Arif Khan, payloadartist](https://twitter.com/payloadartist)
* [Binit Ghimire](https://github.com/TheBinitGhimire)
",293,b yogeshojha/rengine 669a93e69b8a705a203eff76d8899ace1f9da3ae
