repo,path,sha,date_time,previous_content,content,levenshtein_distance,bcompare
eclipse-californium/californium,SECURITY.md,ea2ab064afd927236f9b93dc000350155d91f10d,2021-02-04 21:06:48+00:00,,"# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.0.0-SNAPSHOT (master) | :heavy_check_mark: |
| 2.6.1   | :heavy_check_mark: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
",1279,b eclipse-californium/californium ea2ab064afd927236f9b93dc000350155d91f10d
eclipse-californium/californium,SECURITY.md,580056acf952406097b174b9a89ed8accc27db91,2021-03-23 10:36:50+00:00,"# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.0.0-SNAPSHOT (master) | :heavy_check_mark: |
| 2.6.1   | :heavy_check_mark: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
","# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.0.0-SNAPSHOT (master) | :heavy_check_mark: |
| 2.6.2   | :heavy_check_mark: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
",1,b eclipse-californium/californium 580056acf952406097b174b9a89ed8accc27db91
eclipse-californium/californium,SECURITY.md,a8d4526c0b32ddbb189abb2f1410bc2007731d4f,2021-05-07 17:48:50+00:00,"# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.0.0-SNAPSHOT (master) | :heavy_check_mark: |
| 2.6.2   | :heavy_check_mark: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
","# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.0.0-SNAPSHOT (master) | :heavy_check_mark: |
| 2.6.3   | :heavy_check_mark: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
",1,b eclipse-californium/californium a8d4526c0b32ddbb189abb2f1410bc2007731d4f
eclipse-californium/californium,SECURITY.md,22dbc8960581462bff913167ee128e2db7b8e97a,2021-07-15 08:22:07+00:00,"# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.0.0-SNAPSHOT (master) | :heavy_check_mark: |
| 2.6.3   | :heavy_check_mark: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
","# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.0.0-SNAPSHOT (master) | :heavy_check_mark: |
| 2.6.4   | :heavy_check_mark: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
",1,b eclipse-californium/californium 22dbc8960581462bff913167ee128e2db7b8e97a
eclipse-californium/californium,SECURITY.md,2ecf16bdd3fd9f42bf6031d4096cc72fff893367,2021-08-13 14:56:43+00:00,"# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.0.0-SNAPSHOT (master) | :heavy_check_mark: |
| 2.6.4   | :heavy_check_mark: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
","# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.0.0-SNAPSHOT (master) | :heavy_check_mark: |
| 2.6.5   | :heavy_check_mark: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
",1,b eclipse-californium/californium 2ecf16bdd3fd9f42bf6031d4096cc72fff893367
eclipse-californium/californium,SECURITY.md,d81e680781bcb2dfd869865dca81b8fea9dda802,2021-11-03 14:01:26+00:00,"# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.0.0-SNAPSHOT (master) | :heavy_check_mark: |
| 2.6.5   | :heavy_check_mark: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
","# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.1.0-SNAPSHOT (master) | :heavy_check_mark: |
| 3.0.0   | :heavy_check_mark: |
| 2.6.5   | :question: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
",29,b eclipse-californium/californium d81e680781bcb2dfd869865dca81b8fea9dda802
eclipse-californium/californium,SECURITY.md,4e882730bc31f8d6406f7140f608ef3dee48ef51,2021-12-19 07:38:33+00:00,"# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.1.0-SNAPSHOT (master) | :heavy_check_mark: |
| 3.0.0   | :heavy_check_mark: |
| 2.6.5   | :question: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
","# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.1.0-SNAPSHOT (master) | :heavy_check_mark: |
| 3.0.0   | :heavy_check_mark: |
| 2.7.0   | :question: |
| 2.6.6   | :question: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
",26,b eclipse-californium/californium 4e882730bc31f8d6406f7140f608ef3dee48ef51
eclipse-californium/californium,SECURITY.md,c6ea950ed7b5630564fc24b24645c0b14c519323,2021-12-23 07:57:51+00:00,"# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.1.0-SNAPSHOT (master) | :heavy_check_mark: |
| 3.0.0   | :heavy_check_mark: |
| 2.7.0   | :question: |
| 2.6.6   | :question: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
","# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.2.0-SNAPSHOT (master) | :heavy_check_mark: |
| 3.1.0   | :heavy_check_mark: |
| 3.0.0   | :question: |
| 2.7.0   | :question: |
| 2.6.6   | :question: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
",27,b eclipse-californium/californium c6ea950ed7b5630564fc24b24645c0b14c519323
eclipse-californium/californium,SECURITY.md,5218bd1ab1c7b866ca610aa0c32f89c488ba3e55,2022-01-13 19:02:59+00:00,"# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.2.0-SNAPSHOT (master) | :heavy_check_mark: |
| 3.1.0   | :heavy_check_mark: |
| 3.0.0   | :question: |
| 2.7.0   | :question: |
| 2.6.6   | :question: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
","# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.3.0-SNAPSHOT (master) | :heavy_check_mark: |
| 3.2.0   | :heavy_check_mark: |
| 3.1.0   | :question: |
| 3.0.0   | :question: |
| 2.7.0   | :question: |
| 2.6.6   | :question: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
",27,b eclipse-californium/californium 5218bd1ab1c7b866ca610aa0c32f89c488ba3e55
eclipse-californium/californium,SECURITY.md,bb6adaa692ba5c038a0f84cabd6d91ef9c20dd86,2022-02-24 08:58:02+00:00,"# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.3.0-SNAPSHOT (master) | :heavy_check_mark: |
| 3.2.0   | :heavy_check_mark: |
| 3.1.0   | :question: |
| 3.0.0   | :question: |
| 2.7.0   | :question: |
| 2.6.6   | :question: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
","# Security Policy

## Reporting a Vulnerability

Currently, [GitHub security advisories](https://help.github.com/en/articles/managing-security-vulnerabilities-in-your-project) is not activated on [eclipse](https://www.eclipse.org/) projects.

To report a vulnerability, your need to open a [bugzilla ticket](https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Community&component=Vulnerability+Reports&keywords=security&groups=Security_Advisories).

For more details, please look at https://www.eclipse.org/security/.

## Supported Versions

| Version | Supported          |
| ------- | ------------------ |
| 3.4.0-SNAPSHOT (master) | :heavy_check_mark: |
| 3.3.0   | :heavy_check_mark: |
| 3.2.0   | :question: |
| 3.1.0   | :question: |
| 3.0.0   | :question: |
| 2.7.0   | :question: |
| 2.6.6   | :question: |
| 2.5.0   | :question: |
| 2.4.1   | :question: |
| 2.3.1   | :question: |
| 2.2.3   | :question: |
| 2.1.0   | :question: |
| 2.0.0   | :question: |
| before 2.0.0   | :x: |

:heavy_check_mark: development version / current release - all bugfixes will be applied

:question: the previous (bugfix-)releases - update to the current release is recommended. On exceptions, specific bugfixes may be applied on request. (Create a vulnerability report with the requested vulnerability fix and the (bugfix-)version.)

:x: old releases, milestone releases - usually no bugfixes are applied there.
",27,b eclipse-californium/californium bb6adaa692ba5c038a0f84cabd6d91ef9c20dd86
