repo,path,sha,date_time,previous_content,content,levenshtein_distance,bcompare
ericcornelissen/shescape,SECURITY.md,009686679d8c554d64312130efc8f93936c99c4d,2020-11-06 08:52:29+00:00,,"# Security Policy

## Supported Versions

The table below tells you which version of the _Shescape_ are currently being
supported with security updates.

| Version | Supported          |
| ------- | ------------------ |
| < 1.0.0 | :white_check_mark: |

## Reporting a Vulnerability

The maintainers of the _Shescape_ take security bugs very seriously. We
appreciate your efforts to responsibly disclose your findings. Due to the
non-funded open-source nature of this project, we take a best-efforts approach
when it comes to engaging with (security) reports.

To report a security issue, send an email to [security@ericcornelissen.dev] and
include the words _""SECURITY""_ and _""Shescape""_ in the subject line. Please
do not open a regular issue or Pull Request in the public repository.

## Acknowledgments

We would like to publicly thank the following reporters:

- _None yet_

[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28Shescape%29
",982,b ericcornelissen/shescape 009686679d8c554d64312130efc8f93936c99c4d
ericcornelissen/shescape,SECURITY.md,337512df34ac42d1b8cfeb52a1d78b9db3ca84f4,2020-12-10 17:46:01+00:00,"# Security Policy

## Supported Versions

The table below tells you which version of the _Shescape_ are currently being
supported with security updates.

| Version | Supported          |
| ------- | ------------------ |
| < 1.0.0 | :white_check_mark: |

## Reporting a Vulnerability

The maintainers of the _Shescape_ take security bugs very seriously. We
appreciate your efforts to responsibly disclose your findings. Due to the
non-funded open-source nature of this project, we take a best-efforts approach
when it comes to engaging with (security) reports.

To report a security issue, send an email to [security@ericcornelissen.dev] and
include the words _""SECURITY""_ and _""Shescape""_ in the subject line. Please
do not open a regular issue or Pull Request in the public repository.

## Acknowledgments

We would like to publicly thank the following reporters:

- _None yet_

[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28Shescape%29
","# Security Policy

## Supported Versions

The table below tells you which version of the _Shescape_ are currently being
supported with security updates.

| Version | Supported          | Until            |
| ------- | ------------------ | ---------------- |
| 1.x.x   | :white_check_mark: | _current_        |
| < 1.0.0 | :white_check_mark: | 01 February 2021 |

## Reporting a Vulnerability

The maintainers of the _Shescape_ take security bugs very seriously. We
appreciate your efforts to responsibly disclose your findings. Due to the
non-funded open-source nature of this project, we take a best-efforts approach
when it comes to engaging with (security) reports.

To report a security issue, send an email to [security@ericcornelissen.dev] and
include the words _""SECURITY""_ and _""Shescape""_ in the subject line. Please
do not open a regular issue or Pull Request in the public repository.

## Acknowledgments

We would like to publicly thank the following reporters:

- _None yet_

[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28Shescape%29
",109,b ericcornelissen/shescape 337512df34ac42d1b8cfeb52a1d78b9db3ca84f4
ericcornelissen/shescape,SECURITY.md,8e50ac00fadf3fa6e2538a44961c2e393907b576,2021-02-01 18:20:27+00:00,"# Security Policy

## Supported Versions

The table below tells you which version of the _Shescape_ are currently being
supported with security updates.

| Version | Supported          | Until            |
| ------- | ------------------ | ---------------- |
| 1.x.x   | :white_check_mark: | _current_        |
| < 1.0.0 | :white_check_mark: | 01 February 2021 |

## Reporting a Vulnerability

The maintainers of the _Shescape_ take security bugs very seriously. We
appreciate your efforts to responsibly disclose your findings. Due to the
non-funded open-source nature of this project, we take a best-efforts approach
when it comes to engaging with (security) reports.

To report a security issue, send an email to [security@ericcornelissen.dev] and
include the words _""SECURITY""_ and _""Shescape""_ in the subject line. Please
do not open a regular issue or Pull Request in the public repository.

## Acknowledgments

We would like to publicly thank the following reporters:

- _None yet_

[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28Shescape%29
","# Security Policy

## Supported Versions

The table below tells you which version of the _Shescape_ are currently being
supported with security updates.

| Version | Supported          |
| ------: | ------------------ |
|   1.x.x | :white_check_mark: |
|   0.x.x | :x:                |

## Reporting a Vulnerability

The maintainers of the _Shescape_ take security bugs very seriously. We
appreciate your efforts to responsibly disclose your findings. Due to the
non-funded open-source nature of this project, we take a best-efforts approach
when it comes to engaging with (security) reports.

To report a security issue, send an email to [security@ericcornelissen.dev] and
include the words _""SECURITY""_ and _""Shescape""_ in the subject line. Please
do not open a regular issue or Pull Request in the public repository.

## Acknowledgments

We would like to publicly thank the following reporters:

- _None yet_

[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28Shescape%29
",96,b ericcornelissen/shescape 8e50ac00fadf3fa6e2538a44961c2e393907b576
ericcornelissen/shescape,SECURITY.md,1f62c8d58cb4f706c9e8937c8829c57541448d59,2022-07-28 21:31:00+00:00,"# Security Policy

## Supported Versions

The table below tells you which version of the _Shescape_ are currently being
supported with security updates.

| Version | Supported          |
| ------: | ------------------ |
|   1.x.x | :white_check_mark: |
|   0.x.x | :x:                |

## Reporting a Vulnerability

The maintainers of the _Shescape_ take security bugs very seriously. We
appreciate your efforts to responsibly disclose your findings. Due to the
non-funded open-source nature of this project, we take a best-efforts approach
when it comes to engaging with (security) reports.

To report a security issue, send an email to [security@ericcornelissen.dev] and
include the words _""SECURITY""_ and _""Shescape""_ in the subject line. Please
do not open a regular issue or Pull Request in the public repository.

## Acknowledgments

We would like to publicly thank the following reporters:

- _None yet_

[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28Shescape%29
","# Security Policy

## Supported Versions

The table below tells you which version of the _Shescape_ are currently being
supported with security updates.

| Version | Supported          |
| ------: | ------------------ |
|   1.x.x | :white_check_mark: |
|   0.x.x | :x:                |

## Reporting a Vulnerability

The maintainers of the _Shescape_ take security bugs very seriously. We
appreciate your efforts to responsibly disclose your findings. Due to the
non-funded open-source nature of this project, we take a best-efforts approach
when it comes to engaging with (security) reports.

To report a security issue, send an email to [security@ericcornelissen.dev] and
include the words _""SECURITY""_ and _""Shescape""_ in the subject line. Please
do not open a regular issue or Pull Request in the public repository.

## Advisories

- `CVE-2021-21384` (2021-03-19)
- `CVE-2022-24725` (2022-03-03)
- `CVE-2022-31179` (2022-07-26)
- `CVE-2022-31180` (2022-07-26)

## Acknowledgments

We would like to publicly thank the following reporters:

- _None yet_

[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28Shescape%29
",144,b ericcornelissen/shescape 1f62c8d58cb4f706c9e8937c8829c57541448d59
ericcornelissen/shescape,SECURITY.md,55f7987dd3f5f7965c14a41f24836f396eacd1b7,2022-08-30 16:46:46+00:00,"# Security Policy

## Supported Versions

The table below tells you which version of the _Shescape_ are currently being
supported with security updates.

| Version | Supported          |
| ------: | ------------------ |
|   1.x.x | :white_check_mark: |
|   0.x.x | :x:                |

## Reporting a Vulnerability

The maintainers of the _Shescape_ take security bugs very seriously. We
appreciate your efforts to responsibly disclose your findings. Due to the
non-funded open-source nature of this project, we take a best-efforts approach
when it comes to engaging with (security) reports.

To report a security issue, send an email to [security@ericcornelissen.dev] and
include the words _""SECURITY""_ and _""Shescape""_ in the subject line. Please
do not open a regular issue or Pull Request in the public repository.

## Advisories

- `CVE-2021-21384` (2021-03-19)
- `CVE-2022-24725` (2022-03-03)
- `CVE-2022-31179` (2022-07-26)
- `CVE-2022-31180` (2022-07-26)

## Acknowledgments

We would like to publicly thank the following reporters:

- _None yet_

[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28Shescape%29
","# Security Policy

## Supported Versions

The table below tells you which version of the _Shescape_ are currently being
supported with security updates.

| Version | Supported |
| ------: | :-------- |
|   1.x.x | Yes       |
|   0.x.x | No        |

## Reporting a Vulnerability

The maintainers of the _Shescape_ take security bugs very seriously. We
appreciate your efforts to responsibly disclose your findings. Due to the
non-funded open-source nature of this project, we take a best-efforts approach
when it comes to engaging with (security) reports.

To report a security issue in a supported version of _Shescape_, send an email
to [security@ericcornelissen.dev] and include the words _""SECURITY""_ and
_""Shescape""_ in the subject line. Please do not open a regular issue or Pull
Request in the public repository.

If you found a security bug in an unsupported version of _Shescape_, please
report this publicly. For example as a regular issue in the public repository.

## Advisories

| ID               | Date       | Affected versions | Patched versions |
| :--------------- | :--------- | :---------------- | :--------------- |
| `CVE-2021-21384` | 2021-03-19 | `<1.1.3`          | `1.1.3`          |
| `CVE-2022-24725` | 2022-03-03 | `>=1.4.0 <1.5.1`  | `1.5.1`          |
| `CVE-2022-31179` | 2022-07-26 | `<1.5.8`          | `1.5.8`          |
| `CVE-2022-31180` | 2022-07-26 | `>=1.4.0 <1.5.8`  | `1.5.8`          |
| `CVE-2022-36064` | 2022-08-29 | `>=1.5.1 <1.5.10` | `1.5.10`         |

## Acknowledgments

We would like to publicly thank the following reporters:

- _None yet_

[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28Shescape%29
",639,b ericcornelissen/shescape 55f7987dd3f5f7965c14a41f24836f396eacd1b7
ericcornelissen/shescape,SECURITY.md,19562d294c37c93bf6b1b7625042b467b08ea1c9,2022-09-29 14:12:45+00:00,"# Security Policy

## Supported Versions

The table below tells you which version of the _Shescape_ are currently being
supported with security updates.

| Version | Supported |
| ------: | :-------- |
|   1.x.x | Yes       |
|   0.x.x | No        |

## Reporting a Vulnerability

The maintainers of the _Shescape_ take security bugs very seriously. We
appreciate your efforts to responsibly disclose your findings. Due to the
non-funded open-source nature of this project, we take a best-efforts approach
when it comes to engaging with (security) reports.

To report a security issue in a supported version of _Shescape_, send an email
to [security@ericcornelissen.dev] and include the words _""SECURITY""_ and
_""Shescape""_ in the subject line. Please do not open a regular issue or Pull
Request in the public repository.

If you found a security bug in an unsupported version of _Shescape_, please
report this publicly. For example as a regular issue in the public repository.

## Advisories

| ID               | Date       | Affected versions | Patched versions |
| :--------------- | :--------- | :---------------- | :--------------- |
| `CVE-2021-21384` | 2021-03-19 | `<1.1.3`          | `1.1.3`          |
| `CVE-2022-24725` | 2022-03-03 | `>=1.4.0 <1.5.1`  | `1.5.1`          |
| `CVE-2022-31179` | 2022-07-26 | `<1.5.8`          | `1.5.8`          |
| `CVE-2022-31180` | 2022-07-26 | `>=1.4.0 <1.5.8`  | `1.5.8`          |
| `CVE-2022-36064` | 2022-08-29 | `>=1.5.1 <1.5.10` | `1.5.10`         |

## Acknowledgments

We would like to publicly thank the following reporters:

- _None yet_

[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28Shescape%29
","# Security Policy

## Supported Versions

The table below shows which versions of _Shescape_ are currently supported with
security updates.

| Version | Supported | End-of-life |
| ------: | :-------- | :---------- |
|   1.x.x | Yes       | -           |
|   0.x.x | No        | 2021-02-01  |

## Reporting a Vulnerability

The maintainers of _Shescape_ take security bugs very seriously. We appreciate
your efforts to responsibly disclose your findings. Due to the non-funded
open-source nature of this project, we take a best-efforts approach when it
comes to engaging with (security) reports.

To report a security issue in a supported version of the project, send an email
to [security@ericcornelissen.dev] and include the terms ""SECURITY"" and
""shescape"" in the subject line. Please do not open a regular issue or Pull
Request in the public repository.

If you found a security bug in an unsupported version of the project, please
report this publicly. For example, as a regular issue in the public repository.

## Advisories

| ID               | Date       | Affected versions | Patched versions |
| :--------------- | :--------- | :---------------- | :--------------- |
| `CVE-2021-21384` | 2021-03-19 | `<1.1.3`          | `1.1.3`          |
| `CVE-2022-24725` | 2022-03-03 | `>=1.4.0 <1.5.1`  | `1.5.1`          |
| `CVE-2022-31179` | 2022-07-26 | `<1.5.8`          | `1.5.8`          |
| `CVE-2022-31180` | 2022-07-26 | `>=1.4.0 <1.5.8`  | `1.5.8`          |
| `CVE-2022-36064` | 2022-08-29 | `>=1.5.1 <1.5.10` | `1.5.10`         |

## Acknowledgments

We would like to publicly thank the following reporters:

- _None yet_

[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28shescape%29
",114,b ericcornelissen/shescape 19562d294c37c93bf6b1b7625042b467b08ea1c9
ericcornelissen/shescape,SECURITY.md,c1425f0aabb23a3d18ee13b975719a5105626134,2022-10-04 12:10:00+00:00,"# Security Policy

## Supported Versions

The table below shows which versions of _Shescape_ are currently supported with
security updates.

| Version | Supported | End-of-life |
| ------: | :-------- | :---------- |
|   1.x.x | Yes       | -           |
|   0.x.x | No        | 2021-02-01  |

## Reporting a Vulnerability

The maintainers of _Shescape_ take security bugs very seriously. We appreciate
your efforts to responsibly disclose your findings. Due to the non-funded
open-source nature of this project, we take a best-efforts approach when it
comes to engaging with (security) reports.

To report a security issue in a supported version of the project, send an email
to [security@ericcornelissen.dev] and include the terms ""SECURITY"" and
""shescape"" in the subject line. Please do not open a regular issue or Pull
Request in the public repository.

If you found a security bug in an unsupported version of the project, please
report this publicly. For example, as a regular issue in the public repository.

## Advisories

| ID               | Date       | Affected versions | Patched versions |
| :--------------- | :--------- | :---------------- | :--------------- |
| `CVE-2021-21384` | 2021-03-19 | `<1.1.3`          | `1.1.3`          |
| `CVE-2022-24725` | 2022-03-03 | `>=1.4.0 <1.5.1`  | `1.5.1`          |
| `CVE-2022-31179` | 2022-07-26 | `<1.5.8`          | `1.5.8`          |
| `CVE-2022-31180` | 2022-07-26 | `>=1.4.0 <1.5.8`  | `1.5.8`          |
| `CVE-2022-36064` | 2022-08-29 | `>=1.5.1 <1.5.10` | `1.5.10`         |

## Acknowledgments

We would like to publicly thank the following reporters:

- _None yet_

[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28shescape%29
","# Security Policy

## Supported Versions

The table below shows which versions of _Shescape_ are currently supported with
security updates.

| Version | Supported | End-of-life |
| ------: | :-------- | :---------- |
|   1.x.x | Yes       | -           |
|   0.x.x | No        | 2021-02-01  |

## Reporting a Vulnerability

The maintainers of this project take security bugs very seriously. We appreciate
your efforts to responsibly disclose your findings. Due to the non-funded and
open-source nature of this project, we take a best-efforts approach when it
comes to engaging with (security) reports.

To report a security issue in a supported version of the project, send an email
to [security@ericcornelissen.dev] and include the terms ""SECURITY"" and
""shescape"" in the subject line. Please do not open a regular issue or Pull
Request in the public repository.

If you found a security bug in an unsupported version of the project, please
report this publicly. For example, as a regular issue in the public repository.

## Advisories

| ID               | Date       | Affected versions | Patched versions |
| :--------------- | :--------- | :---------------- | :--------------- |
| `CVE-2021-21384` | 2021-03-19 | `<1.1.3`          | `1.1.3`          |
| `CVE-2022-24725` | 2022-03-03 | `>=1.4.0 <1.5.1`  | `1.5.1`          |
| `CVE-2022-31179` | 2022-07-26 | `<1.5.8`          | `1.5.8`          |
| `CVE-2022-31180` | 2022-07-26 | `>=1.4.0 <1.5.8`  | `1.5.8`          |
| `CVE-2022-36064` | 2022-08-29 | `>=1.5.1 <1.5.10` | `1.5.10`         |

## Acknowledgments

We would like to publicly thank the following reporters:

- _None yet_

[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28shescape%29
",14,b ericcornelissen/shescape c1425f0aabb23a3d18ee13b975719a5105626134
ericcornelissen/shescape,SECURITY.md,552e8eab56861720b1d4e5474fb65741643358f9,2022-10-25 17:49:23+00:00,"# Security Policy

## Supported Versions

The table below shows which versions of _Shescape_ are currently supported with
security updates.

| Version | Supported | End-of-life |
| ------: | :-------- | :---------- |
|   1.x.x | Yes       | -           |
|   0.x.x | No        | 2021-02-01  |

## Reporting a Vulnerability

The maintainers of this project take security bugs very seriously. We appreciate
your efforts to responsibly disclose your findings. Due to the non-funded and
open-source nature of this project, we take a best-efforts approach when it
comes to engaging with (security) reports.

To report a security issue in a supported version of the project, send an email
to [security@ericcornelissen.dev] and include the terms ""SECURITY"" and
""shescape"" in the subject line. Please do not open a regular issue or Pull
Request in the public repository.

If you found a security bug in an unsupported version of the project, please
report this publicly. For example, as a regular issue in the public repository.

## Advisories

| ID               | Date       | Affected versions | Patched versions |
| :--------------- | :--------- | :---------------- | :--------------- |
| `CVE-2021-21384` | 2021-03-19 | `<1.1.3`          | `1.1.3`          |
| `CVE-2022-24725` | 2022-03-03 | `>=1.4.0 <1.5.1`  | `1.5.1`          |
| `CVE-2022-31179` | 2022-07-26 | `<1.5.8`          | `1.5.8`          |
| `CVE-2022-31180` | 2022-07-26 | `>=1.4.0 <1.5.8`  | `1.5.8`          |
| `CVE-2022-36064` | 2022-08-29 | `>=1.5.1 <1.5.10` | `1.5.10`         |

## Acknowledgments

We would like to publicly thank the following reporters:

- _None yet_

[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28shescape%29
","# Security Policy

## Supported Versions

The table below shows which versions of _Shescape_ are currently supported with
security updates.

| Version | Supported | End-of-life |
| ------: | :-------- | :---------- |
|   1.x.x | Yes       | -           |
|   0.x.x | No        | 2021-02-01  |

## Reporting a Vulnerability

The maintainers of this project take security bugs very seriously. We appreciate
your efforts to responsibly disclose your findings. Due to the non-funded and
open-source nature of this project, we take a best-efforts approach when it
comes to engaging with (security) reports.

To report a security issue in a supported version of the project, send an email
to [security@ericcornelissen.dev] and include the terms ""SECURITY"" and
""shescape"" in the subject line. Please do not open a regular issue or Pull
Request in the public repository.

If you found a security bug in an unsupported version of the project, please
report this publicly. For example, as a regular issue in the public repository.

## Advisories

| ID                    | Date       | Affected versions | Patched versions |
| :-------------------- | :--------- | :---------------- | :--------------- |
| `CVE-2021-21384`      | 2021-03-19 | `<1.1.3`          | `1.1.3`          |
| `CVE-2022-24725`      | 2022-03-03 | `>=1.4.0 <1.5.1`  | `1.5.1`          |
| `CVE-2022-31179`      | 2022-07-26 | `<1.5.8`          | `1.5.8`          |
| `CVE-2022-31180`      | 2022-07-26 | `>=1.4.0 <1.5.8`  | `1.5.8`          |
| `CVE-2022-36064`      | 2022-08-29 | `>=1.5.1 <1.5.10` | `1.5.10`         |
| `GHSA-cr84-xvw4-qx3c` | 2022-10-25 | `>=1.5.10 <1.6.1` | `1.6.1`          |

## Acknowledgments

We would like to publicly thank the following reporters:

- Elliot Ward ([@mowzk]) from [Snyk]

[@mowzk]: https://github.com/mowzk
[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28shescape%29
[snyk]: https://snyk.io/
",204,b ericcornelissen/shescape 552e8eab56861720b1d4e5474fb65741643358f9
ericcornelissen/shescape,SECURITY.md,01cfeed43a6979537b293f689382b07b07c19f81,2022-10-25 18:54:55+00:00,"# Security Policy

## Supported Versions

The table below shows which versions of _Shescape_ are currently supported with
security updates.

| Version | Supported | End-of-life |
| ------: | :-------- | :---------- |
|   1.x.x | Yes       | -           |
|   0.x.x | No        | 2021-02-01  |

## Reporting a Vulnerability

The maintainers of this project take security bugs very seriously. We appreciate
your efforts to responsibly disclose your findings. Due to the non-funded and
open-source nature of this project, we take a best-efforts approach when it
comes to engaging with (security) reports.

To report a security issue in a supported version of the project, send an email
to [security@ericcornelissen.dev] and include the terms ""SECURITY"" and
""shescape"" in the subject line. Please do not open a regular issue or Pull
Request in the public repository.

If you found a security bug in an unsupported version of the project, please
report this publicly. For example, as a regular issue in the public repository.

## Advisories

| ID                    | Date       | Affected versions | Patched versions |
| :-------------------- | :--------- | :---------------- | :--------------- |
| `CVE-2021-21384`      | 2021-03-19 | `<1.1.3`          | `1.1.3`          |
| `CVE-2022-24725`      | 2022-03-03 | `>=1.4.0 <1.5.1`  | `1.5.1`          |
| `CVE-2022-31179`      | 2022-07-26 | `<1.5.8`          | `1.5.8`          |
| `CVE-2022-31180`      | 2022-07-26 | `>=1.4.0 <1.5.8`  | `1.5.8`          |
| `CVE-2022-36064`      | 2022-08-29 | `>=1.5.1 <1.5.10` | `1.5.10`         |
| `GHSA-cr84-xvw4-qx3c` | 2022-10-25 | `>=1.5.10 <1.6.1` | `1.6.1`          |

## Acknowledgments

We would like to publicly thank the following reporters:

- Elliot Ward ([@mowzk]) from [Snyk]

[@mowzk]: https://github.com/mowzk
[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28shescape%29
[snyk]: https://snyk.io/
","# Security Policy

## Supported Versions

The table below shows which versions of _Shescape_ are currently supported with
security updates.

| Version | Supported | End-of-life |
| ------: | :-------- | :---------- |
|   1.x.x | Yes       | -           |
|   0.x.x | No        | 2021-02-01  |

## Reporting a Vulnerability

The maintainers of this project take security bugs very seriously. We appreciate
your efforts to responsibly disclose your findings. Due to the non-funded and
open-source nature of this project, we take a best-efforts approach when it
comes to engaging with (security) reports.

To report a security issue in a supported version of the project, send an email
to [security@ericcornelissen.dev] and include the terms ""SECURITY"" and
""shescape"" in the subject line. Please do not open a regular issue or Pull
Request in the public repository.

If you found a security bug in an unsupported version of the project, please
report this publicly. For example, as a regular issue in the public repository.

## Advisories

| ID               | Date       | Affected versions | Patched versions |
| :--------------- | :--------- | :---------------- | :--------------- |
| `CVE-2021-21384` | 2021-03-19 | `<1.1.3`          | `>=1.1.3`        |
| `CVE-2022-24725` | 2022-03-03 | `>=1.4.0 <1.5.1`  | `>=1.5.1`        |
| `CVE-2022-31179` | 2022-07-26 | `<1.5.8`          | `>=1.5.8`        |
| `CVE-2022-31180` | 2022-07-26 | `>=1.4.0 <1.5.8`  | `>=1.5.8`        |
| `CVE-2022-36064` | 2022-08-29 | `>=1.5.1 <1.5.10` | `>=1.5.10`       |
| `CVE-2022-25918` | 2022-10-25 | `>=1.5.10 <1.6.1` | `>=1.6.1`        |

## Acknowledgments

We would like to publicly thank the following reporters:

- Elliot Ward ([@mowzk]) from [Snyk]

[@mowzk]: https://github.com/mowzk
[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28shescape%29
[snyk]: https://snyk.io/
",76,b ericcornelissen/shescape 01cfeed43a6979537b293f689382b07b07c19f81
ericcornelissen/shescape,SECURITY.md,b9ee30b0486db7a84c5ae779849c25bfd6589528,2023-01-12 21:15:11+00:00,"# Security Policy

## Supported Versions

The table below shows which versions of _Shescape_ are currently supported with
security updates.

| Version | Supported | End-of-life |
| ------: | :-------- | :---------- |
|   1.x.x | Yes       | -           |
|   0.x.x | No        | 2021-02-01  |

## Reporting a Vulnerability

The maintainers of this project take security bugs very seriously. We appreciate
your efforts to responsibly disclose your findings. Due to the non-funded and
open-source nature of this project, we take a best-efforts approach when it
comes to engaging with (security) reports.

To report a security issue in a supported version of the project, send an email
to [security@ericcornelissen.dev] and include the terms ""SECURITY"" and
""shescape"" in the subject line. Please do not open a regular issue or Pull
Request in the public repository.

If you found a security bug in an unsupported version of the project, please
report this publicly. For example, as a regular issue in the public repository.

## Advisories

| ID               | Date       | Affected versions | Patched versions |
| :--------------- | :--------- | :---------------- | :--------------- |
| `CVE-2021-21384` | 2021-03-19 | `<1.1.3`          | `>=1.1.3`        |
| `CVE-2022-24725` | 2022-03-03 | `>=1.4.0 <1.5.1`  | `>=1.5.1`        |
| `CVE-2022-31179` | 2022-07-26 | `<1.5.8`          | `>=1.5.8`        |
| `CVE-2022-31180` | 2022-07-26 | `>=1.4.0 <1.5.8`  | `>=1.5.8`        |
| `CVE-2022-36064` | 2022-08-29 | `>=1.5.1 <1.5.10` | `>=1.5.10`       |
| `CVE-2022-25918` | 2022-10-25 | `>=1.5.10 <1.6.1` | `>=1.6.1`        |

## Acknowledgments

We would like to publicly thank the following reporters:

- Elliot Ward ([@mowzk]) from [Snyk]

[@mowzk]: https://github.com/mowzk
[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28shescape%29
[snyk]: https://snyk.io/
","# Security Policy

## Supported Versions

The table below shows which versions of _Shescape_ are currently supported with
security updates.

| Version | Supported | End-of-life |
| ------: | :-------- | :---------- |
|   1.x.x | Yes       | -           |
|   0.x.x | No        | 2021-02-01  |

## Reporting a Vulnerability

The maintainers of this project take security bugs very seriously. We appreciate
your efforts to responsibly disclose your findings. Due to the non-funded and
open-source nature of this project, we take a best-efforts approach when it
comes to engaging with (security) reports.

To report a security issue in a supported version of the project, send an email
to [security@ericcornelissen.dev] and include the terms ""SECURITY"" and
""shescape"" in the subject line. Please do not open a regular issue or Pull
Request in the public repository.

If you found a security bug in an unsupported version of the project, please
report this publicly. For example, as a regular issue in the public repository.

## Advisories

> **Note**: Ordered most to least recent.

| ID               | Date       | Affected versions | Patched versions |
| :--------------- | :--------- | :---------------- | :--------------- |
| `CVE-2022-25918` | 2022-10-25 | `>=1.5.10 <1.6.1` | `>=1.6.1`        |
| `CVE-2022-36064` | 2022-08-29 | `>=1.5.1 <1.5.10` | `>=1.5.10`       |
| `CVE-2022-31180` | 2022-07-26 | `>=1.4.0 <1.5.8`  | `>=1.5.8`        |
| `CVE-2022-31179` | 2022-07-26 | `<1.5.8`          | `>=1.5.8`        |
| `CVE-2022-24725` | 2022-03-03 | `>=1.4.0 <1.5.1`  | `>=1.5.1`        |
| `CVE-2021-21384` | 2021-03-19 | `<1.1.3`          | `>=1.1.3`        |

## Acknowledgments

We would like to publicly thank the following reporters:

- Elliot Ward ([@mowzk]) from [Snyk]

[@mowzk]: https://github.com/mowzk
[security@ericcornelissen.dev]: mailto:security@ericcornelissen.dev?subject=SECURITY%20%28shescape%29
[snyk]: https://snyk.io/
",149,b ericcornelissen/shescape b9ee30b0486db7a84c5ae779849c25bfd6589528
