repo,path,sha,date_time,previous_content,content,levenshtein_distance,bcompare
strapi/strapi,SECURITY.md,28415e97fac9aceb2b4a06ea375ad722aabe86d4,2019-11-04 22:42:30+00:00,,"# Security Policy

## Supported Versions

As of November 2019 (and until this document is updated), only the v3.0.0-beta tags of Strapi are supported for updates. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)** or via the [Strapi Slack](https://slack.strapi.io).

When reporting a (suspected) security vulnerabilitie via slack please reach out to any of the following Strapi employees directly:

- `@aureliengeorget`
- `@alexandre`
- `@lauriejim`
- `@soupette`

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
",840,b strapi/strapi 28415e97fac9aceb2b4a06ea375ad722aabe86d4
strapi/strapi,SECURITY.md,1255533eab40db6edea84f575a9eb30c28366456,2019-11-05 08:39:56+00:00,"# Security Policy

## Supported Versions

As of November 2019 (and until this document is updated), only the v3.0.0-beta tags of Strapi are supported for updates. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)** or via the [Strapi Slack](https://slack.strapi.io).

When reporting a (suspected) security vulnerabilitie via slack please reach out to any of the following Strapi employees directly:

- `@aureliengeorget`
- `@alexandre`
- `@lauriejim`
- `@soupette`

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
","# Security Policy

## Supported Versions

As of November 2019 (and until this document is updated), only the v3.0.0-beta tags of Strapi are supported for updates. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)** or via the [Strapi Slack](https://slack.strapi.io).

When reporting a (suspected) security vulnerability via slack please reach out to any of the following Strapi employees directly:

- `@aureliengeorget`
- `@alexandre`
- `@lauriejim`
- `@soupette`

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
",2,b strapi/strapi 1255533eab40db6edea84f575a9eb30c28366456
strapi/strapi,SECURITY.md,b9821f60077d22c20440788371e771dec422b46a,2020-05-27 12:44:13+00:00,"# Security Policy

## Supported Versions

As of November 2019 (and until this document is updated), only the v3.0.0-beta tags of Strapi are supported for updates. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)** or via the [Strapi Slack](https://slack.strapi.io).

When reporting a (suspected) security vulnerability via slack please reach out to any of the following Strapi employees directly:

- `@aureliengeorget`
- `@alexandre`
- `@lauriejim`
- `@soupette`

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
","# Security Policy

## Supported Versions

As of May 2020 (and until this document is updated), only the v3.0.0 *stable* release of Strapi is supported for updates. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)** or via the [Strapi Slack](https://slack.strapi.io).

When reporting a (suspected) security vulnerability via slack please reach out to any of the following Strapi employees directly:

- `@aureliengeorget`
- `@alexandre`
- `@lauriejim`
- `@soupette`

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
",26,b strapi/strapi b9821f60077d22c20440788371e771dec422b46a
strapi/strapi,SECURITY.md,ace6572e804fb397b513ae9ac0755882330b564e,2021-05-03 12:24:17+00:00,"# Security Policy

## Supported Versions

As of May 2020 (and until this document is updated), only the v3.0.0 *stable* release of Strapi is supported for updates. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)** or via the [Strapi Slack](https://slack.strapi.io).

When reporting a (suspected) security vulnerability via slack please reach out to any of the following Strapi employees directly:

- `@aureliengeorget`
- `@alexandre`
- `@lauriejim`
- `@soupette`

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
","# Security Policy

## Supported Versions

As of May 2020 (and until this document is updated), only the v3.0.0 *stable* release of Strapi is supported for updates. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)**.

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
",248,b strapi/strapi ace6572e804fb397b513ae9ac0755882330b564e
strapi/strapi,SECURITY.md,356ee09ed2e1b03a75b0ae05ff8917dc1a91912b,2021-06-23 16:23:54+00:00,"# Security Policy

## Supported Versions

As of May 2020 (and until this document is updated), only the v3.0.0 *stable* release of Strapi is supported for updates. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)**.

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
","# Security Policy

## Supported Versions

As of May 2020 (and until this document is updated), only the v3.0.0 _stable_ release of Strapi is supported for updates. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)**.

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
",2,b strapi/strapi 356ee09ed2e1b03a75b0ae05ff8917dc1a91912b
strapi/strapi,SECURITY.md,7624cb2b3d195acf9465abf0a4645bfe1216bc4f,2022-01-21 21:29:21+00:00,"# Security Policy

## Supported Versions

As of May 2020 (and until this document is updated), only the v3.0.0 _stable_ release of Strapi is supported for updates. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)**.

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
","# Security Policy

## Supported Versions

As of January 2022 (and until this document is updated), only the v3.0.0 and v4.0.0 _stable_ releases of Strapi are supported for updates. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

- v3 support is limited to Critical/High priority security updates only until September 2022
- v4 is considered LTS until further notice

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)**.

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
",159,b strapi/strapi 7624cb2b3d195acf9465abf0a4645bfe1216bc4f
strapi/strapi,SECURITY.md,7406d6bba3875eee51837134672d6966c3540a19,2022-05-12 17:20:55+00:00,"# Security Policy

## Supported Versions

As of January 2022 (and until this document is updated), only the v3.0.0 and v4.0.0 _stable_ releases of Strapi are supported for updates. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

- v3 support is limited to Critical/High priority security updates only until September 2022
- v4 is considered LTS until further notice

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)**.

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
","# Security Policy

## Supported Versions

As of May 2022 (and until this document is updated), only the v4.x.x _stable_ releases of Strapi are supported for updates and bug fixes. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

- v3.x.x support is limited to Critical/High severity or security updates only until December 2022
- v4.x.x is considered LTS until further notice

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)**.

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
",50,b strapi/strapi 7406d6bba3875eee51837134672d6966c3540a19
strapi/strapi,SECURITY.md,2f4522e6a0ddbb11cf1e8334e722498b8e6d2390,2022-05-17 17:41:48+00:00,"# Security Policy

## Supported Versions

As of May 2022 (and until this document is updated), only the v4.x.x _stable_ releases of Strapi are supported for updates and bug fixes. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

- v3.x.x support is limited to Critical/High severity or security updates only until December 2022
- v4.x.x is considered LTS until further notice

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)**.

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
","# Security Policy

## Supported Versions

As of May 2022 (and until this document is updated), only the v4.x.x _stable_ releases of Strapi are supported for updates and bug fixes. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

- v3.x.x support is limited to Critical/High severity security updates only until December 2022
- v4.x.x is considered LTS until further notice

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)**.

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
",3,b strapi/strapi 2f4522e6a0ddbb11cf1e8334e722498b8e6d2390
strapi/strapi,SECURITY.md,392995837c8329801c485b3630663ea9d1405a70,2022-12-14 21:47:38+00:00,"# Security Policy

## Supported Versions

As of May 2022 (and until this document is updated), only the v4.x.x _stable_ releases of Strapi are supported for updates and bug fixes. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

- v3.x.x support is limited to Critical/High severity security updates only until December 2022
- v4.x.x is considered LTS until further notice

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)**.

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
","# Security Policy

## Supported Versions

As of January 2023 (and until this document is updated), only the v4.x.x _GA_ releases of Strapi are supported for updates and bug fixes. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

- v4.x.x **GA** is considered LTS until further notice
- v4.x.x **Beta** is considered unstable and not supported
- v4.x.x **Alpha** is considered unstable and not supported
- v3.x.x is considered deprecated and not supported

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)**.

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
",167,b strapi/strapi 392995837c8329801c485b3630663ea9d1405a70
strapi/strapi,SECURITY.md,40577a07f19bd5cf60f089e9f321fd672952997d,2022-12-16 17:03:41+00:00,"# Security Policy

## Supported Versions

As of January 2023 (and until this document is updated), only the v4.x.x _GA_ releases of Strapi are supported for updates and bug fixes. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

- v4.x.x **GA** is considered LTS until further notice
- v4.x.x **Beta** is considered unstable and not supported
- v4.x.x **Alpha** is considered unstable and not supported
- v3.x.x is considered deprecated and not supported

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)**.

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
","# Security Policy

## Supported Versions

As of January 2023 (and until this document is updated), only the v4.x.x _GA_ releases of Strapi are supported for updates and bug fixes. Any previous versions are currently not supported and users are advised to use them ""at their own risk"".

- v4.x.x **Stable** is considered LTS until further notice
- v4.x.x **Beta** is considered unstable and not supported
- v4.x.x **Alpha** is considered unstable and not supported
- v3.x.x is considered deprecated and not supported

## Reporting a Vulnerability

Please report (suspected) security vulnerabilities to
**[security@strapi.io](mailto:security@strapi.io)**.

You will receive a response from us within 72 hours. If the issue is confirmed,
we will release a patch as soon as possible depending on complexity
but historically within a few days.
",6,b strapi/strapi 40577a07f19bd5cf60f089e9f321fd672952997d
