repo,path,sha,date_time,previous_content,content,levenshtein_distance,bcompare
tinymce/tinymce,SECURITY.md,c337c9300c6fe716b27441187893972e44cc03f5,2020-05-15 05:35:48+00:00,,"# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.3.x   | &#10004;                       |
| 4.9.x   | &#10004; (critical fixes only) |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/enterprise/system-requirements/#supportedtinymceversions).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/advanced/security/#reportingtinymcesecurityissues).
",775,b tinymce/tinymce c337c9300c6fe716b27441187893972e44cc03f5
tinymce/tinymce,SECURITY.md,520b4b50ce25b1d78d3a7573eed4b20fe5786677,2020-08-22 06:36:50+00:00,"# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.3.x   | &#10004;                       |
| 4.9.x   | &#10004; (critical fixes only) |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/enterprise/system-requirements/#supportedtinymceversions).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/advanced/security/#reportingtinymcesecurityissues).
","# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.4.x   | &#10004;                       |
| 4.9.x   | &#10004; (critical fixes only) |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/enterprise/system-requirements/#supportedtinymceversions).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/advanced/security/#reportingtinymcesecurityissues).
",1,b tinymce/tinymce 520b4b50ce25b1d78d3a7573eed4b20fe5786677
tinymce/tinymce,SECURITY.md,5c2ce87a7b086c0d6f6dec6d581d80cb6c9a6aa0,2020-09-29 07:48:40+00:00,"# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.4.x   | &#10004;                       |
| 4.9.x   | &#10004; (critical fixes only) |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/enterprise/system-requirements/#supportedtinymceversions).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/advanced/security/#reportingtinymcesecurityissues).
","# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.5.x   | &#10004;                       |
| 4.9.x   | &#10004; (critical fixes only) |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/enterprise/system-requirements/#supportedtinymceversions).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/advanced/security/#reportingtinymcesecurityissues).
",1,b tinymce/tinymce 5c2ce87a7b086c0d6f6dec6d581d80cb6c9a6aa0
tinymce/tinymce,SECURITY.md,f7a6df9bf7f7a1b77b4d6b77e159bb341ef501b5,2020-12-08 07:01:22+00:00,"# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.5.x   | &#10004;                       |
| 4.9.x   | &#10004; (critical fixes only) |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/enterprise/system-requirements/#supportedtinymceversions).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/advanced/security/#reportingtinymcesecurityissues).
","# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.6.x   | &#10004;                       |
| 4.9.x   | &#10004; (critical fixes only) |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/enterprise/system-requirements/#supportedtinymceversions).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/advanced/security/#reportingtinymcesecurityissues).
",1,b tinymce/tinymce f7a6df9bf7f7a1b77b4d6b77e159bb341ef501b5
tinymce/tinymce,SECURITY.md,c7ffd06d6e4e9ca4e9d665ed5b0fddb8465499da,2021-01-08 08:19:59+00:00,"# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.6.x   | &#10004;                       |
| 4.9.x   | &#10004; (critical fixes only) |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/enterprise/system-requirements/#supportedtinymceversions).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/advanced/security/#reportingtinymcesecurityissues).
","# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.6.x   | &#10004;                       |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/enterprise/system-requirements/#supportedtinymceversions).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/advanced/security/#reportingtinymcesecurityissues).
",45,b tinymce/tinymce c7ffd06d6e4e9ca4e9d665ed5b0fddb8465499da
tinymce/tinymce,SECURITY.md,6615a776de47ea44d2c5cb018840809df82b7f89,2021-03-18 02:10:51+00:00,"# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.6.x   | &#10004;                       |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/enterprise/system-requirements/#supportedtinymceversions).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/advanced/security/#reportingtinymcesecurityissues).
","# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.7.x   | &#10004;                       |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/enterprise/system-requirements/#supportedtinymceversions).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/advanced/security/#reportingtinymcesecurityissues).
",1,b tinymce/tinymce 6615a776de47ea44d2c5cb018840809df82b7f89
tinymce/tinymce,SECURITY.md,29e7c73f8881ff1fb66035c02b6c1f8ea1650fa6,2021-05-06 00:50:28+00:00,"# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.7.x   | &#10004;                       |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/enterprise/system-requirements/#supportedtinymceversions).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/advanced/security/#reportingtinymcesecurityissues).
","# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.8.x   | &#10004;                       |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/enterprise/system-requirements/#supportedtinymceversions).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/advanced/security/#reportingtinymcesecurityissues).
",1,b tinymce/tinymce 29e7c73f8881ff1fb66035c02b6c1f8ea1650fa6
tinymce/tinymce,SECURITY.md,e80e7a821fab4f6715a1d5a56d9c5a1fe06dc998,2021-08-26 03:25:22+00:00,"# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.8.x   | &#10004;                       |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/enterprise/system-requirements/#supportedtinymceversions).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/advanced/security/#reportingtinymcesecurityissues).
","# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.9.x   | &#10004;                       |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/enterprise/system-requirements/#supportedtinymceversions).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/advanced/security/#reportingtinymcesecurityissues).
",1,b tinymce/tinymce e80e7a821fab4f6715a1d5a56d9c5a1fe06dc998
tinymce/tinymce,SECURITY.md,1526a9b577624f67d2b4468b09df6e37d7ec7a32,2021-10-11 01:32:09+00:00,"# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.9.x   | &#10004;                       |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/enterprise/system-requirements/#supportedtinymceversions).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/advanced/security/#reportingtinymcesecurityissues).
","# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.10.x  | &#10004;                       |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/enterprise/system-requirements/#supportedtinymceversions).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/advanced/security/#reportingtinymcesecurityissues).
",3,b tinymce/tinymce 1526a9b577624f67d2b4468b09df6e37d7ec7a32
tinymce/tinymce,SECURITY.md,5c62b186b9157b130de879eeac46b81454147177,2022-03-01 08:21:59+00:00,"# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.10.x  | &#10004;                       |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/enterprise/system-requirements/#supportedtinymceversions).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/advanced/security/#reportingtinymcesecurityissues).
","# Security Policy

## Supported Versions

Tiny Technologies, Inc. supports the following community versions of TinyMCE:

| Version | Supported                      |
| ------- | ------------------------------ |
| 5.10.x  | &#10004;                       |
| 6.0.x    | &#10004;                       |
| Other   | &#10006;                       |

For supported enterprise versions of TinyMCE, refer to the enterprise [Supported TinyMCE versions documentation](https://www.tiny.cloud/docs/tinymce/6/support.html#supportedversionsandplatforms).

## Reporting a Vulnerability

For details on how to report security issues to Tiny, refer to the [Reporting TinyMCE security issues documentation](https://www.tiny.cloud/docs/tinymce/6/security.html#reportingtinymcesecurityissues).
",99,b tinymce/tinymce 5c62b186b9157b130de879eeac46b81454147177
