#,Repository Characteristic,Security Policy Category,Sign,Size,p-value,rho
1,Number of languages,Number of words,+,2882,4.92E-13,0.134
2,Number of languages,Number of characters,+,2882,5.61E-12,0.127
3,Number of lines of code,Number of words,+,2882,1.49E-09,0.112
4,Number of lines of code,Number of characters,+,2882,2.59E-09,0.1106
5,Number of NUGET dependencies,Number of characters,+,2882,4.58E-09,0.108
6,Number of NUGET dependencies,Number of words,+,2882,5.72E-09,0.108
7,Number of NUGET dependencies,Number of paragraphs,+,2882,7.66E-09,0.107
8,Number of security-related issues,Number of characters,+,2882,7.99E-09,0.107
9,Number of security-related issues,Number of words,+,2882,3.08E-07,0.0951
10,Number of languages,Number of paragraphs,+,2882,6.74E-07,0.0924
11,Number of issues,Number of characters,+,2882,1.05E-06,0.0907
12,Number of issues,Number of words,+,2882,5.73E-06,0.0843
13,Number of committers,Number of words,+,2882,8.88E-06,0.0826
14,Number of committers,Number of characters,+,2882,0.000016,0.0803
15,Number of COMPOSER dependencies,Number of characters,-,2882,0.000446,0.0653
16,Number of days since document created,Number of characters,-,2882,0.000433,0.0655
17,Number of days since document created,Number of words,-,2882,0.000129,0.0712
18,Number of COMPOSER dependencies,Number of words,-,2882,0.000124,0.0714
