#,Repository characteristic,Security policy category,Sign,Size,p-value,Effect size
1,Number of CVEs,Bug bounty program,-,2882,2.53E-16,0.142
2,Number of GO dependencies,Subscription,+,2882,5.50E-33,0.132
3,Number of CWEs,Bug bounty program,-,2882,1.60E-14,0.131
4,Number of committers,Subscription,+,2882,4.16E-12,0.129
5,Number of OWASP descriptions,Bug bounty program,-,2882,2.12E-11,0.1104
6,Number of days since document created,Empty,-,2882,5.79E-09,0.108
7,Number of CVSS v3 impact score low,Bug bounty program,-,2882,1.19E-09,0.0984
8,Number of forks,Bug bounty program,+,2882,4.35E-07,0.0941
9,Number of NUGET dependencies,Secure communication,+,2882,2.37E-34,0.0935
10,Number of days since document created,Introduction,-,2882,1.79E-06,0.0889
11,Number of CVEs,Empty,-,2882,3.78E-07,0.0882
12,Number of CVSS v2 impact score low,Bug bounty program,-,2882,3.02E-08,0.0849
13,Number of CVSS v3 impact score medium or above,Bug bounty program,-,2882,2.91E-08,0.0845
14,Number of languages,Bug bounty program,+,2882,8.54E-06,0.0826
15,Number of languages,Secure communication,+,2882,8.63E-06,0.0826
16,Number of CWEs,Empty,-,2882,1.81E-06,0.0819
17,Number of CVEs,Handling procedure,+,2882,3.24E-06,0.0808
18,Number of CWEs,Handling procedure,=,2882,2.64E-06,0.0806
19,Number of NUGET dependencies,Empty,+,2882,1.27E-25,0.08005
20,Number of CVSS v2 impact score medium or above,Bug bounty program,-,2882,1.18E-07,0.0787
21,Number of days since document created,Handling procedure,-,2882,0.000036,0.0769
22,Number of languages,Handling procedure,+,2882,0.000039,0.0763
23,Number of CWEs,Threat model,+,2882,8.96E-06,0.0762
24,Number of days since document created,Subscription,-,2882,0.000052,0.0753
25,Number of NUGET dependencies,Bug bounty program,+,2882,7.40E-23,0.0752
26,Number of stars,Bug bounty program,+,2882,0.000131,0.0712
27,Number of security-related issues,Known vulnerabilities,-,2882,0.000172,0.0699
28,Number of CVEs,Threat model,+,2882,0.000063,0.0695
29,Number of security advisories,Bug bounty program,-,2882,6.65E-07,0.0677
30,Number of CVSS v3 impact score low,Threat model,+,2882,0.000034,0.06703
31,Number of CVSS v3 impact score low,Empty,-,2882,0.000039,0.0665
32,Number of COMPOSER dependencies,Handling procedure,-,2882,1.68E-10,0.0663
33,Number of OWASP descriptions,Threat model,+,2882,0.000128,0.0631
34,Number of OWASP descriptions,Handling procedure,-,2882,0.000131,0.06305
35,Number of CVSS v2 impact score low,Guideline,+,2882,0.000042,0.0628
36,Number of OWASP descriptions,Empty,-,2882,0.000142,0.0627
37,Number of OWASP descriptions,Guideline,+,2882,0.000161,0.0622
38,Number of COMPOSER dependencies,Guideline,+,2882,3.27E-09,0.0614
39,Number of CVSS v2 impact score low,Empty,-,2882,0.000089,0.0601
40,Number of CVSS v2 impact score low,Threat model,+,2882,0.000144,0.0582
41,Number of CVSS v2 impact score medium or above,Empty,-,2882,0.000139,0.0566
42,Number of COMPOSER dependencies,Bug bounty program,-,2882,7.60E-08,0.0558
43,Number of COMPOSER dependencies,Threat model,+,2882,2.54E-07,0.0535
44,Number of COMPOSER dependencies,Introduction,-,2882,2.77E-06,0.0486
45,Number of NUGET dependencies,Introduction,+,2882,6.94E-10,0.0471
46,Number of NUGET dependencies,Handling procedure,+,2882,6.08E-08,0.0414
47,Number of NUGET dependencies,Scope,+,2882,2.78E-07,0.0393
48,Number of RUBYGEMS dependencies,Bug bounty program,+,2882,0.000036,0.0344
49,Number of RUST dependencies,Secure communication,+,2882,1.36E-08,0.03402
50,Number of PUB dependencies,Subscription,+,2882,3.84E-22,0.0232
51,Number of PUB dependencies,Known vulnerabilities,+,2882,8.06E-15,0.0186
52,Number of PUB dependencies,Guideline,+,2882,1.02E-08,0.0137
53,Number of PUB dependencies,Bug bounty program,+,2882,0.000044,0.009802
